Level,Seed_Method,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓),NMAE (↓)
LOW,LINEAR,Ada,0.614790285128592,0.614790285127726,0.9377530191418672,1.500802949449385,1.2099218116015853,0.06883110072121573
LOW,LINEAR,DT,0.4111524894367291,0.4111524894353036,0.93616717011127,1.7993505552186249,1.2704687559604646,0.07274071979985272
LOW,LINEAR,GB,0.7667045408049058,0.7667045408043377,0.9557101183752734,1.144036894611421,0.8417954022048617,0.048074499359614664
LOW,LINEAR,KNN,0.7062168324170226,0.7062168324163021,0.9504104319776058,1.2801406230208732,0.9491876101493837,0.05431307575314073
LOW,LINEAR,LGBM,0.7625074999108035,0.7625074999102326,0.9555919830398023,1.160727737076314,0.845213786474428,0.04828803622712728
LOW,LINEAR,LN,0.7535765011931974,0.7535765011925961,0.954976886322549,1.172233950409222,0.8590339303016664,0.048976026502784334
LOW,LINEAR,Lasso,0.7532589806381402,0.7532589806375388,0.9546269205652481,1.17365188627468,0.8655434668064118,0.0493375876698059
LOW,LINEAR,RF,0.6952495342150069,0.6952495342142601,0.9498304579700019,1.3039684679423342,0.9634636782488653,0.05504752311950462
LOW,LINEAR,Ridge,0.753576425326381,0.7535764253257795,0.9549768222187565,1.1722340677092467,0.8590351939201356,0.048976092825876456
LOW,LINEAR,SVR,0.7686801084118426,0.7686801084112815,0.9571825690165746,1.140560030757668,0.8156094441509818,0.046565830543431094
LOW,LINEAR,XGB,0.7316781090380913,0.7316781090374415,0.9540531751158718,1.2261083248881115,0.8808646094799042,0.05023435958806339
LOW,MEAN,Ada,0.6385054864445083,0.6385054864436821,0.9402497771362166,1.4529049383951338,1.156242488899351,0.06589841202069768
LOW,MEAN,DT,0.4384491791649946,0.4384491791636216,0.936812532726424,1.7637440888641973,1.252213530441125,0.07166254725292502
LOW,MEAN,GB,0.768265659938754,0.7682656599381896,0.955766278032698,1.140129713790161,0.8403550438386937,0.04799393611047166
LOW,MEAN,KNN,0.7037780678867496,0.7037780678860263,0.9507089437274476,1.2878029074554425,0.944375044107437,0.054068186004262886
LOW,MEAN,LGBM,0.7610083236069513,0.7610083236063742,0.9553706431034473,1.1623436610644327,0.8495201830259214,0.04851837069768533
LOW,MEAN,LN,0.7532215836282883,0.7532215836276859,0.9549142231149029,1.1731896486237336,0.8601530849933625,0.04904494479655252
LOW,MEAN,Lasso,0.7528334290434602,0.7528334290428578,0.9545647959725141,1.1747917477086967,0.8666798949241639,0.049407204926360804
LOW,MEAN,RF,0.6897741373802825,0.6897741373795218,0.9493233932615515,1.3150247113126154,0.9742810053256296,0.0556316378997486
LOW,MEAN,Ridge,0.7532215159726432,0.7532215159720408,0.9549141500662566,1.1731897208115203,0.8601544976234436,0.049045019730513284
LOW,MEAN,SVR,0.7680369891328067,0.768036989132244,0.9571437033503304,1.1422708273990447,0.8163857189929782,0.046615757843781774
LOW,MEAN,XGB,0.7400499279391685,0.7400499279385355,0.9537289951182866,1.2068291561145659,0.8840766835212708,0.0504563634570068
LOW,SPLINE,Ada,0.6021886069544143,0.6021886069535105,0.9381872300730769,1.5200078111960582,1.2029503153796761,0.06853861497637835
LOW,SPLINE,DT,0.4426241642506539,0.4426241642492854,0.9384034433133235,1.752837061269802,1.223723917901516,0.06995391294329623
LOW,SPLINE,GB,0.7627429362642393,0.7627429362636635,0.9552991433976663,1.1548527952103504,0.850463281105894,0.048550192469292486
LOW,SPLINE,KNN,0.7059603134501842,0.7059603134494669,0.9505833259431917,1.283767181944413,0.9466875314712525,0.0541594771227399
LOW,SPLINE,LGBM,0.755070876103651,0.755070876103063,0.955025099746812,1.178927955585638,0.8578684336728193,0.048966730964182685
LOW,SPLINE,LN,0.7513821177031681,0.7513821177025628,0.9546923796908151,1.177661666586327,0.8653933703899384,0.049300948539630185
LOW,SPLINE,Lasso,0.7514409591263923,0.7514409591257878,0.9543963375017466,1.1780220547798383,0.8707590019702913,0.04960138459797487
LOW,SPLINE,RF,0.6870058324684993,0.6870058324677343,0.9498130011623174,1.3221779513149405,0.966709929642451,0.05518549127379103
LOW,SPLINE,Ridge,0.7513819819993093,0.7513819819987041,0.9546923260161646,1.1776620295666977,0.8653944849967958,0.049301005710320464
LOW,SPLINE,SVR,0.7675534144710996,0.7675534144705365,0.9570893732412087,1.144022318978916,0.8177097574647114,0.04667902120817767
LOW,SPLINE,XGB,0.7304312187377036,0.7304312187370452,0.953257080575045,1.2275069932833629,0.8950825548171997,0.05105963735931607
MED,LINEAR,Ada,0.7673176442927294,0.767317644292088,0.9540879937201308,1.3971466731115918,1.1130304857675408,0.049568573592582564
MED,LINEAR,DT,0.7283825343960535,0.7283825343952613,0.9547842503399805,1.4995383371976527,1.1083035527808325,0.04929764164038858
MED,LINEAR,GB,0.8501978300569158,0.8501978300564792,0.9649218942402121,1.0942367419533825,0.8301165149763813,0.037399633912838404
MED,LINEAR,KNN,0.8386549609611903,0.838654960960738,0.9629469285146578,1.166707906655726,0.8942142949785505,0.03959208569952749
MED,LINEAR,LGBM,0.8577690872337047,0.8577690872332855,0.965793983533793,1.0652879948257605,0.808822926787572,0.03640357241200003
MED,LINEAR,LN,0.8378263123612929,0.8378263123608158,0.9629025791376167,1.1261630947607946,0.8742678887503488,0.039593012682428694
MED,LINEAR,Lasso,0.8363192878036151,0.8363192878031338,0.9629994843019648,1.129506917367147,0.8721536419221334,0.039521214948151896
MED,LINEAR,RF,0.8589350167328218,0.858935016732404,0.9663828754929569,1.0588374576489505,0.7961589262826101,0.03578852301932968
MED,LINEAR,Ridge,0.837826342566138,0.837826342565661,0.962902556374272,1.1261637552692645,0.8742687845230103,0.03959303693519361
MED,LINEAR,SVR,0.859760039144649,0.8597600391442254,0.9670665135179721,1.0435956526605024,0.7765663888778306,0.035075936396633985
MED,LINEAR,XGB,0.8536305304260543,0.8536305304256205,0.9658809195141532,1.076700663629704,0.8089766093662807,0.036367681124311386
MED,MEAN,Ada,0.7677044074438355,0.7677044074432,0.9541632002304855,1.4083965166623298,1.1180754520550766,0.049507744434760005
MED,MEAN,DT,0.722078232598651,0.7220782325978318,0.9547365536281083,1.4909982876414816,1.0967857441731863,0.04945229970649225
MED,MEAN,GB,0.8503154174812865,0.8503154174808519,0.9648081277503506,1.0970861914315797,0.8338916756234485,0.03751523172333888
MED,MEAN,KNN,0.8381568878489397,0.8381568878484865,0.9627718674403312,1.1719563193245348,0.9001428856168475,0.03978222829537909
MED,MEAN,LGBM,0.8567892842173279,0.8567892842169033,0.9661345323151271,1.061859433674361,0.8007750454706937,0.03606303776678165
MED,MEAN,LN,0.8379881087330897,0.8379881087326142,0.9628733123880624,1.1269095913028608,0.8755824776206697,0.039622587234908836
MED,MEAN,Lasso,0.836543485924934,0.8365434859244543,0.9629716082814781,1.1301260468554595,0.8733604719809124,0.039548794807513235
MED,MEAN,RF,0.8596677325758725,0.8596677325754621,0.9661542280860557,1.0615842795241277,0.8016517812524524,0.03602300938976133
MED,MEAN,Ridge,0.8379880956189234,0.8379880956184477,0.9628732870650226,1.1269104956753895,0.8755834036214013,0.03962261466706881
MED,MEAN,SVR,0.8597995463756508,0.8597995463752275,0.9670919888744194,1.0431932264296457,0.7761912707185781,0.035048831078011336
MED,MEAN,XGB,0.8594757472885719,0.8594757472881552,0.966342177659082,1.0539260559023582,0.7958149276460919,0.035822430589329345
MED,SPLINE,Ada,0.7710337570091451,0.7710337570085183,0.954698144270447,1.3938653383937682,1.1040339301155133,0.048915946114989395
MED,SPLINE,DT,0.7140467520188912,0.7140467520180508,0.9535543417379337,1.5197438835604733,1.1351785793474742,0.05072485207433302
MED,SPLINE,GB,0.8506658413640645,0.8506658413636299,0.9648224045675212,1.0940166659815997,0.8323695389434794,0.03749491201131618
MED,SPLINE,KNN,0.8374955684522981,0.8374955684518427,0.962849700345307,1.1714921114307837,0.8961964442048753,0.039711163784023965
MED,SPLINE,LGBM,0.8577765393468645,0.8577765393464453,0.9658002749033854,1.0655223496073194,0.8093625415707544,0.03639697478089815
