Level,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓)
LOW,Ada,0.6103419048183634,0.610341904817483,0.9385702281501495,1.5071534272721845,1.1949163054700604
LOW,DT,0.39312193588832145,0.3931219358868147,0.9353895969759968,1.8137218787634064,1.2860676686962447
LOW,GB,0.7670213653649971,0.7670213653644319,0.9558564728002891,1.144913285552453,0.8394133384698343
LOW,KNN,0.7051028205084164,0.7051028205076957,0.9504314575612276,1.2846568903079543,0.9499374961853027
LOW,LGBM,0.7598108346084615,0.7598108346078842,0.9552570439386626,1.1671845739920537,0.8523319491412837
LOW,LN,0.7530645412086503,0.7530645412080481,0.954934189903574,1.1738756120472296,0.8599141066046826
LOW,Lasso,0.7526760077424461,0.7526760077418438,0.9545829957147894,1.1754647402479483,0.866466603995481
LOW,RF,0.6904685121381808,0.6904685121374208,0.949890082984038,1.313329361821375,0.964419677231378
LOW,Ridge,0.7530645182810869,0.7530645182804847,0.954934126869263,1.1738756136345876,0.8599153265602832
LOW,SVR,0.7682552358144018,0.7682552358138398,0.9571016380869503,1.1418338387421645,0.8172517635546082
LOW,XGB,0.7297579324695468,0.7297579324688859,0.9532316031919417,1.2289997242521844,0.8950196087360383
MED,Ada,0.7772815104666636,0.7772815104660494,0.9551967557572759,1.378114238023193,1.0908956938735648
MED,DT,0.6835090177446391,0.6835090177436923,0.953269176277295,1.5715144693807848,1.134553614429065
MED,GB,0.8504745799464978,0.8504745799460603,0.9649110100741976,1.0921277090799137,0.8301371219050522
MED,KNN,0.8370968169788554,0.8370968169784005,0.9626235494056041,1.174885857538552,0.9029821496350426
MED,LGBM,0.8574761251860032,0.8574761251855814,0.9658603064016675,1.0627510990933475,0.8066305096995116
MED,LN,0.8380731721945979,0.8380731721941218,0.9629431069138575,1.1253149580672914,0.8731593183886278
MED,Lasso,0.8366687606342637,0.8366687606337839,0.9630273620295418,1.1287857430646289,0.8714356811107659
MED,RF,0.8601065359933504,0.8601065359929378,0.9663939577853501,1.0562599660207976,0.7963321396453038
MED,Ridge,0.8380732506850712,0.8380732506845952,0.9629430898867198,1.1253153814564743,0.8731600177297254
MED,SVR,0.8593597592981864,0.8593597592977623,0.9670389634774204,1.046353575346084,0.7777353140911367
MED,XGB,0.8536530279866518,0.8536530279862157,0.9658343989864191,1.0744432388618759,0.8093407029764992
HIGH,Ada,0.8908981234196122,0.8908981234195281,0.9647448987526785,1.4674068722623916,1.151363289665381
HIGH,DT,0.8890650732882193,0.8890650732881328,0.9667427106058771,1.4702557416719424,1.0892500222206116
HIGH,GB,0.9387975797255546,0.9387975797255054,0.9747851470490559,1.0921073024524839,0.810900677658732
HIGH,KNN,0.9324291198862455,0.9324291198861911,0.9734810466117538,1.1465959362242815,0.8546000590324403
HIGH,LGBM,0.9456749480264773,0.9456749480264334,0.9760627229160386,1.0292136743595792,0.7660146212154314
HIGH,LN,0.9374339596748594,0.9374339596748077,0.9751560210488307,1.088074254971164,0.7979213464436978
HIGH,Lasso,0.9343593072036165,0.9343593072035625,0.9745657206058777,1.1126477334757194,0.8167056381279676
HIGH,RF,0.945838817985714,0.9458388179856698,0.9765371483265889,1.018850164280298,0.7502530054956672
HIGH,Ridge,0.9374340314168883,0.9374340314168366,0.9751559980889977,1.0880743063944778,0.7979220687169237
HIGH,SVR,0.943740147799122,0.943740147799076,0.9761927231086227,1.041984272611461,0.7648088592484348
HIGH,XGB,0.9428036107851598,0.9428036107851131,0.9757874507325189,1.051885099470379,0.7770745899677277
