Level,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓)
LOW,Ada,0.6365379796748396,0.6365379796745915,0.9411416451816645,1.5009945110048433,1.1433356271760777
LOW,DT,0.5560740295690595,0.556074029568751,0.940298981416483,1.6392908467341964,1.1739548892445035
LOW,GB,0.756902617471537,0.7569026174713682,0.955140009243867,1.209271540396566,0.8589471830904833
LOW,KNN,0.7371115254312698,0.7371115254310883,0.9531957170407304,1.2648320627900027,0.8987083613872527
LOW,LGBM,0.7620517045118658,0.7620517045117012,0.9554682516455963,1.198539355850965,0.8518527618465106
LOW,LN,0.7516379369392444,0.7516379369390728,0.9544992293899068,1.223697633944461,0.8727540500706352
LOW,Lasso,0.7505085016220037,0.7505085016218312,0.9543739024478489,1.2261399778838475,0.8753161478422633
LOW,RF,0.720277439465531,0.7202774394653377,0.9520257162685681,1.3015497411135086,0.924239816256903
LOW,Ridge,0.7516375412042853,0.7516375412041135,0.9544991503387439,1.2236985671162044,0.8727555502606112
LOW,SVR,0.7625138600746978,0.762513860074533,0.9562668785156098,1.1939784025451488,0.8382083770334643
LOW,XGB,0.761421196684616,0.7614211966844515,0.9553401068386064,1.2051970859896572,0.8545138140519459
MEDIUM,Ada,0.7511598287846314,0.7511598287844563,0.9532754166432451,1.4890753552397498,1.1466853505812786
MEDIUM,DT,0.6662840451877494,0.6662840451874984,0.9509956540954582,1.6844999124384394,1.2074107176349276
MEDIUM,GB,0.8240100939357438,0.8240100939356149,0.9639526043034532,1.2203243873786072,0.8666077876349558
MEDIUM,KNN,0.7987243044001394,0.7987243043999903,0.9609592163230186,1.3039828178225243,0.9462976297878084
MEDIUM,LGBM,0.8305079445248943,0.8305079445247687,0.9650795135509761,1.193163948295309,0.838164795906425
MEDIUM,LN,0.8126630996839639,0.8126630996838257,0.962585305540684,1.2584529482046232,0.9017532901855222
MEDIUM,Lasso,0.8142159334016478,0.8142159334015109,0.9624888678543354,1.2524017264714202,0.9026965233583878
MEDIUM,RF,0.829012961339516,0.8290129613393892,0.9648647461403659,1.2029386357801855,0.8461011856964655
MEDIUM,Ridge,0.8126634435997546,0.8126634435996163,0.9625852947427439,1.2584517431725388,0.901753410455653
MEDIUM,SVR,0.8257798819969251,0.8257798819967942,0.9650313928161539,1.2048019571303443,0.8404763048019258
MEDIUM,XGB,0.8254196982348188,0.8254196982346903,0.964679581792926,1.2148059679424665,0.8519493067264557
HIGH,Ada,0.8553500466262236,0.8553500466261772,0.9641337440514968,1.4871966165492154,1.1734582750174283
HIGH,DT,0.8738272620571234,0.8738272620570838,0.9673824073066142,1.4887981101773318,1.0687166900634766
HIGH,GB,0.9344301057242954,0.9344301057242751,0.9752031064778096,1.0764869069668006,0.7964058841169357
HIGH,KNN,0.9249562807112716,0.9249562807112487,0.9729967149844632,1.1671760839118384,0.8716199996153514
HIGH,LGBM,0.9387071319729475,0.9387071319729284,0.9761616303423747,1.0408373506151454,0.7639458245283572
HIGH,LN,0.9331691665369177,0.9331691665368969,0.97520775852309,1.08001782872825,0.7939244964609113
HIGH,Lasso,0.9305234244459737,0.9305234244459518,0.9746895566336515,1.0993337437537423,0.8106148647626319
HIGH,RF,0.9385699061890219,0.9385699061890028,0.9762995020461591,1.0410278917220819,0.7582396693654856
HIGH,Ridge,0.9331691470209429,0.933169147020922,0.9752077376018526,1.0800175869237607,0.7939250537476695
HIGH,SVR,0.9411971771630888,0.9411971771630706,0.9766243169236841,1.0254298821254573,0.7493089258684269
HIGH,XGB,0.9371068207722125,0.9371068207721929,0.9757996221624851,1.0569575690627238,0.7765412455876668
