Level,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓)
LOW,Ada,0.6812327660218335,0.681232766021743,0.9432504406212582,1.4224605706620028,1.0946715945543133
LOW,DT,0.5471297259699478,0.5471297259698189,0.9386483067096919,1.690800651257572,1.2102351284878594
LOW,GB,0.7685834147937298,0.7685834147936641,0.9557221230336317,1.2072802020540512,0.8466627180353739
LOW,KNN,0.7349170160297707,0.7349170160296952,0.9517572745863161,1.2894381552780327,0.9261875081062316
LOW,LGBM,0.7683487392185764,0.7683487392185102,0.9558008682435477,1.206573343426267,0.8448966573522418
LOW,LN,0.7640312664355022,0.7640312664354351,0.9552912493625252,1.2206610113333227,0.8558267375328702
LOW,Lasso,0.7638335803098371,0.76383358030977,0.9551210240848911,1.2213010132476954,0.8590037194061775
LOW,RF,0.7240419686359774,0.7240419686358985,0.9507265204852562,1.3164149673636207,0.947556623396077
LOW,Ridge,0.7640312311175654,0.7640312311174982,0.9552911727182466,1.2206610710632586,0.8558281333599523
LOW,SVR,0.7666438841927906,0.7666438841927239,0.9563122029191533,1.2113176031679076,0.8363848538501055
LOW,XGB,0.7543198580627389,0.7543198580626688,0.9550393376691853,1.2426740463503343,0.8622775040354047
MED,Ada,0.7557788990491846,0.7557788990491021,0.9517849799975977,1.4979157202387847,1.18205883021815
MED,DT,0.660500716059606,0.6605007160594835,0.9491439777011922,1.6930753562729268,1.2493622592882236
MED,GB,0.8294476071681685,0.8294476071681067,0.9627661888609141,1.209372653520001,0.8933092763014925
MED,KNN,0.796548528709189,0.796548528709115,0.9593635749308081,1.3193481962562938,0.9817627529100497
MED,LGBM,0.8358453822194828,0.835845382219423,0.9635841028787638,1.183298596912697,0.8725155609491694
MED,LN,0.8205400682475851,0.8205400682475209,0.9615886260523974,1.242913170500602,0.923556529407824
MED,Lasso,0.8180971998160059,0.8180971998159405,0.9611742419268429,1.2511012681454499,0.9326900100547387
MED,RF,0.8329370415907248,0.8329370415906645,0.9632776535926916,1.2001319683464697,0.8833872439532865
MED,Ridge,0.8205404101673117,0.8205404101672472,0.9615886141531628,1.242912268358538,0.9235567842840064
MED,SVR,0.8324251023777818,0.8324251023777204,0.9637181457917862,1.1877241667797562,0.8698807538852877
MED,XGB,0.8228911992972419,0.8228911992971769,0.9623705347038988,1.2239597807506328,0.9024624232248385
HIGH,Ada,0.8934195257549149,0.8934195257549026,0.9673469427154808,1.3731418395558677,1.0623602687364317
HIGH,DT,0.8770796315140629,0.8770796315140484,0.9670671404760762,1.482320493536481,1.079278586775916
HIGH,GB,0.9380054198524771,0.9380054198524698,0.9760295888252641,1.0546157495646704,0.7707233652237028
HIGH,KNN,0.9239455576085084,0.9239455576084995,0.9730895073375041,1.174143920092464,0.8697228423391068
HIGH,LGBM,0.9406562364525007,0.9406562364524937,0.9766302138027311,1.029664596204369,0.749693952704281
HIGH,LN,0.9367391684511596,0.9367391684511521,0.9758466684956624,1.05785559574301,0.7727691468995863
HIGH,Lasso,0.9353806802916632,0.9353806802916554,0.9754990087170099,1.069599780889903,0.7842902704031417
HIGH,RF,0.9401087500925014,0.9401087500924941,0.9767231766089682,1.0332738776816057,0.7460961437073776
HIGH,Ridge,0.9367392303875652,0.9367392303875577,0.9758466595214281,1.057854943282792,0.7727693830904342
HIGH,SVR,0.9419599667681858,0.9419599667681792,0.9770357452633002,1.0198950278325885,0.7364655823371189
HIGH,XGB,0.9382716037560265,0.9382716037560193,0.9762108669520825,1.0497589887501986,0.7646148785727366
