Level,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓)
LOW,Ada,0.6390267466689354,0.6390267466686921,0.9410003916754983,1.5078886781643646,1.148069092048423
LOW,DT,0.5858984380940768,0.5858984380937923,0.9407595026989739,1.5930950446941128,1.1608194709486432
LOW,GB,0.7563500463551368,0.7563500463549677,0.9550510428243704,1.210999016884533,0.8607872562591985
LOW,KNN,0.7378025384781343,0.7378025384779531,0.9532547292116146,1.262820039167742,0.8973125576972962
LOW,LGBM,0.7625513408589966,0.7625513408588321,0.9556144185835755,1.1959177070672529,0.8490849475575226
LOW,LN,0.7516783554903941,0.7516783554902223,0.9545106388954387,1.2236312094252253,0.8725393612138581
LOW,Lasso,0.7505412885613096,0.7505412885611371,0.9543819184641315,1.226086745075734,0.875165726863224
LOW,RF,0.7184924416076507,0.718492441607456,0.9518715524357994,1.304698511992738,0.9273968222176299
LOW,Ridge,0.7516779554028501,0.7516779554026786,0.9545105605228164,1.223632152846451,0.8725408500308478
LOW,SVR,0.7625460016851507,0.762546001684986,0.9562626605467075,1.1939806865918894,0.8382957020763526
LOW,XGB,0.752507233865227,0.7525072338650561,0.9550151042238259,1.2266712749360373,0.8627919443448385
MED,Ada,0.7444661036887691,0.7444661036885901,0.952630348655895,1.5085142641833922,1.1650703713547519
MED,DT,0.6785022479794375,0.6785022479791986,0.9512303282830926,1.6581833351950144,1.204077384585426
MED,GB,0.8238783224387093,0.8238783224385796,0.9639351137252923,1.2204007797799932,0.866533589067729
MED,KNN,0.8004782676165235,0.8004782676163756,0.9610753942933119,1.2968609809201386,0.9427857354141419
MED,LGBM,0.8315957594790753,0.8315957594789509,0.9651503128591646,1.190853065021093,0.8378640115574855
MED,LN,0.8133790784003859,0.8133790784002484,0.9626360656338638,1.2566764328105946,0.9006441295476586
MED,Lasso,0.8148088875606417,0.8148088875605054,0.9625322933148263,1.2509094601729058,0.9017070019184164
MED,RF,0.8300838167738274,0.8300838167737022,0.965081405071715,1.2014752640281985,0.8424922582138151
MED,Ridge,0.8133794057557573,0.8133794057556196,0.9626360547036834,1.2566752819233116,0.9006442535046519
MED,SVR,0.8261743304667342,0.8261743304666036,0.9650335754486468,1.2016938951345668,0.8399025145160336
MED,XGB,0.827127824109602,0.827127824109475,0.9646058173471862,1.2172185959416193,0.8544292562916164
HIGH,Ada,0.8499040253727249,0.8499040253726763,0.9639907102711238,1.4932929192899675,1.1796275927316011
HIGH,DT,0.8774867630455593,0.8774867630455212,0.9671345503978899,1.471683895566793,1.0714500142097474
HIGH,GB,0.9346824639718594,0.9346824639718393,0.9752551051378954,1.075044632000001,0.7949222490997724
HIGH,KNN,0.9255905882938985,0.925590588293876,0.973145046252557,1.1622916805596402,0.8664433221658071
HIGH,LGBM,0.9385522755771143,0.9385522755770951,0.97614138824613,1.0419624842597177,0.7646780355413199
HIGH,LN,0.9331053709155925,0.9331053709155717,0.9752103544286354,1.080232875315124,0.7938949370915487
HIGH,Lasso,0.930469444207007,0.9304694442069854,0.9746907665896651,1.0996858282375008,0.8106400162232089
HIGH,RF,0.9392537837654479,0.9392537837654289,0.9763443870140942,1.0377048771094761,0.756682336209615
HIGH,Ridge,0.933105350322038,0.9331053503220171,0.975210330132978,1.08023267646637,0.7938956095541854
HIGH,SVR,0.9411288718251299,0.9411288718251117,0.9766213037928237,1.025892536877218,0.7494839301161983
HIGH,XGB,0.9371282537437726,0.9371282537437531,0.9757166037665372,1.056530879322467,0.7784901485125224
