Level,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓)
LOW,Ada,0.6633498456838701,0.6633498456837319,0.9440150350001706,1.4399276160343406,1.0835522538359985
LOW,DT,0.5260635584585436,0.5260635584583476,0.9378474619185737,1.700943809878995,1.2245307526787121
LOW,GB,0.7551942665302407,0.7551942665301397,0.955742087373273,1.2206245521213261,0.8486857004260537
LOW,KNN,0.7115091265198559,0.7115091265197362,0.9521471729692339,1.3234235224195674,0.9229875035285949
LOW,LGBM,0.7565691976339881,0.7565691976338871,0.9562347070558901,1.2152962948134671,0.8384003434668693
LOW,LN,0.7415150777041031,0.7415150777039964,0.9542030751638939,1.2554818123387097,0.8801534375300551
LOW,Lasso,0.7411038149581493,0.7411038149580425,0.9541626010370103,1.2561203080674463,0.8809794193914631
LOW,RF,0.7114264570266058,0.7114264570264861,0.9514702751805201,1.3210542917245716,0.9348958636314458
LOW,Ridge,0.7415149373869068,0.7415149373868002,0.9542029898883342,1.2554820923263958,0.8801550523482031
LOW,SVR,0.7542702644248684,0.7542702644247666,0.9566911816257971,1.2203671289660944,0.8311297383965335
LOW,XGB,0.7460355884402499,0.7460355884401446,0.9553636323918933,1.2427153940964506,0.856672184228897
MEDIUM,Ada,0.7596823115436857,0.7596823115435801,0.9532691079952818,1.4674598701988957,1.1440744410762331
MEDIUM,DT,0.70113711153136,0.7011371115312243,0.9517022656742125,1.6421004304129254,1.2024464465890612
MEDIUM,GB,0.834052891418286,0.8340528914182084,0.963848650923757,1.1943734172807365,0.8706093355898449
MEDIUM,KNN,0.8109864430311232,0.8109864430310354,0.9607251295945574,1.2916060068318163,0.9581464443377085
MEDIUM,LGBM,0.8431755282989242,0.8431755282988499,0.9651433451295365,1.157206811701249,0.8369311427649946
MEDIUM,LN,0.8263319754133416,0.8263319754132608,0.9627069333080526,1.225351683978315,0.8999875011220367
MEDIUM,Lasso,0.8237628330344746,0.8237628330343927,0.9622541768451878,1.2367424995170457,0.9120527022275242
MEDIUM,RF,0.8394753283586043,0.8394753283585289,0.9646380347643219,1.1796724336649527,0.8515782123369832
MEDIUM,Ridge,0.8263322681237703,0.8263322681236894,0.9627069075083229,1.2253511922181108,0.8999881371155816
MEDIUM,SVR,0.8400514116898418,0.8400514116897655,0.9652051035679546,1.1685412087892455,0.8390737272879496
MEDIUM,XGB,0.8344887454579589,0.8344887454578805,0.9642015841972997,1.1905035394598165,0.8610698905842645
HIGH,Ada,0.875359246329997,0.8753592463299742,0.9659086892885498,1.4322169743975548,1.1157125863562058
HIGH,DT,0.880004959965228,0.8800049599652061,0.967472495567734,1.46430799266739,1.0604200192451476
HIGH,GB,0.9394260810097755,0.9394260810097649,0.9760127279777341,1.0570811938578664,0.771508492457976
HIGH,KNN,0.9249478471829677,0.9249478471829545,0.9729708517124309,1.1823676417318254,0.8727720221233369
HIGH,LGBM,0.9424169665662677,0.9424169665662576,0.9766319808112243,1.029232766667738,0.7502602281183822
HIGH,LN,0.937139528284219,0.9371395282842075,0.9755948984630219,1.0658048806470048,0.7826947929309105
HIGH,Lasso,0.9352702404741222,0.9352702404741106,0.9752560909364506,1.0814387897189577,0.7933840497339952
HIGH,RF,0.9415619665652966,0.9415619665652865,0.9766135036388696,1.0355557073140442,0.7511672023613453
HIGH,Ridge,0.9371396085233951,0.9371396085233838,0.9755949060528369,1.0658042994834291,0.7826944218699566
HIGH,SVR,0.9426585192916974,0.9426585192916874,0.9768496990491674,1.0258079473230992,0.7431048792259256
HIGH,XGB,0.939560548335556,0.9395605483355451,0.9760429190367743,1.052251987103448,0.769531373653412
