Level,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓)
LOW,Ada,0.5945769955704094,0.594576995569498,0.9369718486876045,1.5352321212220938,1.2289376800029392
LOW,DT,0.4299889537523822,0.42998895375096263,0.9361898490956981,1.767626256262261,1.2647656034429868
LOW,GB,0.766340237163283,0.7663402371627165,0.9555418224163291,1.1465404700412414,0.8454082498083049
LOW,KNN,0.7020432984346318,0.7020432984339007,0.9501472756269588,1.2892832630200135,0.9552500700950624
LOW,LGBM,0.7592645154179067,0.7592645154173264,0.9555656979655394,1.1671175470012791,0.8470867518706389
LOW,LN,0.7528553087304843,0.7528553087298817,0.9548984321834338,1.1744647835324271,0.8606458947344127
LOW,Lasso,0.7524755103653427,0.75247551036474,0.9545626009281873,1.1760250522787283,0.8669074295130273
LOW,RF,0.6969551259317027,0.6969551259309575,0.9499976028029182,1.2987918266055816,0.9600694720350563
LOW,Ridge,0.7528552958006881,0.7528552958000855,0.9548983691408626,1.1744647557469559,0.860647111906019
LOW,SVR,0.7682569376530972,0.7682569376525353,0.957072927062986,1.1418269993022216,0.8177847332456487
LOW,XGB,0.7427179783339322,0.7427179783333097,0.9540868714479553,1.2030021881840272,0.8777765703201295
MEDIUM,Ada,0.7766811288299869,0.7766811288293792,0.9548162616919642,1.3848884308264482,1.1006301102358262
MEDIUM,DT,0.7084148516055627,0.7084148516046925,0.9539230628141098,1.532626380420744,1.1237500344855444
MEDIUM,GB,0.8490021476273165,0.8490021476268738,0.9647015335363885,1.0967892263491563,0.8356379922451268
MEDIUM,KNN,0.8369494815128595,0.8369494815124054,0.9625901275763701,1.1794873085867834,0.9052500132152013
MEDIUM,LGBM,0.8549443156289127,0.8549443156284824,0.9656821321312231,1.0689394045500082,0.810987956085583
MEDIUM,LN,0.8377872046806417,0.837787204680164,0.9629271525429911,1.1256479791279168,0.8734160943190823
MEDIUM,Lasso,0.8363362440727531,0.8363362440722717,0.9630130533480753,1.1291884322940626,0.8716808728131481
MEDIUM,RF,0.8581154767332971,0.8581154767328761,0.9663647101998453,1.0569661895173594,0.7957696392876762
MEDIUM,Ridge,0.8377873053256322,0.8377873053251548,0.9629271365697071,1.1256483712601528,0.8734167758158345
MEDIUM,SVR,0.859218791664224,0.8592187916637994,0.9670150098422994,1.0467040373325456,0.7783378300949384
MEDIUM,XGB,0.8554126411575246,0.8554126411571016,0.9657438104049738,1.074734236596891,0.8108172726631163
HIGH,Ada,0.8800699977941763,0.8800699977940833,0.9642563218415009,1.4974214144246722,1.16874279456933
HIGH,DT,0.8905359702026837,0.8905359702025961,0.9670984404354792,1.4548407779381347,1.074950023460388
HIGH,GB,0.9385495909924744,0.9385495909924251,0.9747615546542735,1.0938963696718407,0.8117782382759813
HIGH,KNN,0.9326362947059781,0.9326362947059238,0.973525189334893,1.1451716690538982,0.8528200434684752
HIGH,LGBM,0.9453935175676026,0.9453935175675585,0.9759571717619709,1.0319379007137368,0.7692560421598945
HIGH,LN,0.9374252619665938,0.9374252619665421,0.9751493844104262,1.0881586404975028,0.7981443347098767
HIGH,Lasso,0.9343546280426577,0.9343546280426037,0.9745628175657948,1.1126986077716028,0.8168117635167795
HIGH,RF,0.9459360021346421,0.9459360021345979,0.976542580183101,1.0171197300276882,0.7505190022975206
HIGH,Ridge,0.9374253337947027,0.9374253337946512,0.9751493618212449,1.0881586969934987,0.7981450452245364
HIGH,SVR,0.943766193239647,0.943766193239601,0.9761915636351516,1.0418780473440206,0.764869692826248
HIGH,XGB,0.9437556547040095,0.943755654703963,0.9758415677933969,1.0417070686611687,0.7725148510456085
