Level,Seed_Method,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓),NMAE (↓)
LOW,MICE,LN,0.7528451143737638,0.7528451143731612,0.9548968077649378,1.174492704809711,0.8606788361072542,0.049071445157902786
LOW,MICE,Ridge,0.7528451872101343,0.7528451872095316,0.9548966997256934,1.1744925798693306,0.8606808626651765,0.04907155395404886
LOW,MICE,Lasso,0.752468033137347,0.7524680331367442,0.9545618302636663,1.1760457763317773,0.8669239342212678,0.049418836255141874
LOW,MICE,KNN,0.7029650054810048,0.7029650054802818,0.9499325714472834,1.2913341910676657,0.9598125898838044,0.05487457437281239
LOW,MICE,DT,0.43943123876615753,0.4394312387647953,0.9358329072886226,1.7685515338989748,1.2714322817325594,0.07279604598097783
LOW,MICE,SVR,0.7682382479287883,0.7682382479282263,0.9570699072169759,1.1418791949014788,0.8178450787067414,0.04668630476077372
LOW,MICE,RF,0.6960996368764869,0.6960996368757393,0.9502643331589579,1.3003829800339688,0.9555712330341339,0.05457829377102288
LOW,MICE,GB,0.7664932645490997,0.7664932645485335,0.955505815000367,1.1462147010569963,0.8459941625595093,0.048293442909503964
LOW,MICE,Ada,0.6076767167279697,0.6076767167270899,0.9376784166530714,1.5152933154261288,1.2126086044311526,0.06902677592389093
LOW,MICE,XGB,0.7429847374503896,0.7429847374497587,0.9543877349062196,1.1965485578042372,0.8711998975276949,0.04972507885400801
LOW,MICE,LGBM,0.757953961762518,0.7579539617619365,0.9550836298227297,1.1721265174427469,0.8556194698810577,0.04886959414138939
MEDIUM,MICE,LN,0.8377681734945107,0.8377681734940331,0.962926114514902,1.125673021755319,0.8734343203476499,0.039568885238728015
MEDIUM,MICE,Ridge,0.8377682190989912,0.8377682190985137,0.9629261122236124,1.12567304599071,0.8734347265107293,0.039568888254246766
MEDIUM,MICE,Lasso,0.8363174736778615,0.8363174736773799,0.9630122593249455,1.1292139135789776,0.8716960150854929,0.03950778400466507
MEDIUM,MICE,KNN,0.8369995774453628,0.8369995774449087,0.962597117831226,1.1793612670799771,0.9051250086511884,0.03997860358911933
MEDIUM,MICE,DT,0.6998674030631883,0.6998674030623572,0.9527503268084683,1.5799303431522966,1.1591071536711284,0.051806551459138615
MEDIUM,MICE,SVR,0.8592157883894237,0.859215788388999,0.9670151402748118,1.0467017999746893,0.7783332593100412,0.03513601439460538
MEDIUM,MICE,RF,0.858821801589394,0.8588218015889766,0.966369827561774,1.0593368494509092,0.7965839328084672,0.03580398920627805
MEDIUM,MICE,GB,0.8503349137801918,0.8503349137797542,0.9648468355549058,1.0930316995258613,0.8322046366759709,0.037469036079239966
MEDIUM,MICE,Ada,0.7704638734455143,0.7704638734448913,0.954463246433942,1.396078836304249,1.1068022661549703,0.04915295559344119
MEDIUM,MICE,XGB,0.8509539880930795,0.8509539880926419,0.965723764752679,1.0809164457074103,0.8100613743918281,0.036551484142629716
MEDIUM,MICE,LGBM,0.8581247836356459,0.8581247836352295,0.9659401462132212,1.0637619061146153,0.8054313429764337,0.036250819199028665
HIGH,MICE,LN,0.937424990099058,0.9374249900990063,0.975149325634786,1.0881609606112723,0.7981461213111878,0.026143069979584405
HIGH,MICE,Ridge,0.9374248838390917,0.9374248838390399,0.9751493089555905,1.0881621103160408,0.7981471308946609,0.026143088970637014
HIGH,MICE,Lasso,0.9343545243151504,0.9343545243150966,0.9745628051369352,1.1126994046430445,0.8168120623111724,0.026792430711788464
HIGH,MICE,KNN,0.9325007472877503,0.932500747287696,0.973519905699615,1.1465520804527989,0.8530900402069093,0.02788377331215074
HIGH,MICE,DT,0.8974412260019136,0.8974412260018291,0.968140946897107,1.4230133661271471,1.0409500264644622,0.03397719528223558
HIGH,MICE,SVR,0.943765069777495,0.943765069777449,0.9761911929180545,1.0418967822803313,0.7648841610431671,0.024981557252585725
HIGH,MICE,RF,0.9454592628700226,0.9454592628699778,0.9764050101924715,1.0213269105076717,0.7543030340433121,0.024741491368283915
HIGH,MICE,GB,0.938713744075041,0.9387137440749916,0.97475481488638,1.0921896529374053,0.8114364517211915,0.026538976186265165
HIGH,MICE,Ada,0.8716295813746576,0.8716295813745586,0.963283105203017,1.5262842095111957,1.205625610923767,0.03928913123417933
HIGH,MICE,XGB,0.9448640842031547,0.94486408420311,0.9761570197940608,1.0320732222652838,0.7629747849464417,0.025003833479081194
HIGH,MICE,LGBM,0.9459411555843775,0.945941155584334,0.9761338362151384,1.027155444416901,0.764401346540451,0.0250146482046058
