Level,Seed_Method,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓),NMAE (↓)
LOW,MICE,LN,0.7516375226100751,0.7516375226099035,0.9544991362251689,1.223698560153665,0.8727556053797404,0.04979400819748566
LOW,MICE,Ridge,0.7516371917313258,0.7516371917311542,0.9544990247605889,1.2236990957499814,0.8727576597531637,0.04979412648256947
LOW,MICE,Lasso,0.7505077038864253,0.7505077038862529,0.9543736528101596,1.2261413777096393,0.8753208700815837,0.049938605216724025
LOW,MICE,KNN,0.7348143056878436,0.7348143056876607,0.953394166416554,1.2706846948043542,0.8956875220934549,0.051193351755301805
LOW,MICE,DT,0.5539285120333908,0.5539285120330837,0.9397568421673457,1.6529054834693826,1.1863663375377655,0.06776419061037986
LOW,MICE,SVR,0.7625114074226804,0.7625114074225157,0.9562666283988305,1.1939869630172864,0.838213243484497,0.04782580924288689
LOW,MICE,RF,0.722364735198807,0.7223647351986153,0.9522179906902266,1.2985013491008688,0.9206261984507242,0.05257302492753363
LOW,MICE,GB,0.7578180544907791,0.7578180544906112,0.9552085142120368,1.2065853463217686,0.8576438426971436,0.048987592767775194
LOW,MICE,Ada,0.6539096319992719,0.6539096319990371,0.9424789432420454,1.4685812177392377,1.1166366577148439,0.06364328654085129
LOW,MICE,XGB,0.7514373332725449,0.7514373332723736,0.9547386402483862,1.2312439870832335,0.8679560621579488,0.04958597512672777
LOW,MICE,LGBM,0.7620866543640272,0.7620866543638626,0.9555211793069368,1.1978567393965192,0.8510006721814473,0.04860392908507211
MEDIUM,MICE,LN,0.8126561992730842,0.812656199272946,0.9625847003908101,1.2584730989723056,0.9017676228001003,0.04034580546673928
MEDIUM,MICE,Ridge,0.8126567095091082,0.8126567095089701,0.9625847259703896,1.2584706625944952,0.9017665598506018,0.04034577220401807
MEDIUM,MICE,Lasso,0.81420968675864,0.8142096867585031,0.9624883480188445,1.252420949525601,0.9027094063304719,0.04041963025498202
MEDIUM,MICE,KNN,0.798736502296495,0.7987365022963459,0.9609745709276476,1.30419036924428,0.9464345276923406,0.042149889088608665
MEDIUM,MICE,DT,0.6808626475915192,0.6808626475912762,0.9520654735152687,1.6424681238561099,1.180565489956311,0.052793283260005146
MEDIUM,MICE,SVR,0.8257992157642784,0.8257992157641475,0.9650347632852067,1.2047896811832721,0.8404066497938975,0.03767139117874047
MEDIUM,MICE,RF,0.8277734678819,0.8277734678817722,0.9648306176752784,1.2060389096556345,0.8466309370313372,0.03785697134678342
MEDIUM,MICE,GB,0.8246306579226618,0.8246306579225333,0.9639808270716392,1.2196555757554717,0.8664290639900026,0.038772010698541755
MEDIUM,MICE,Ada,0.754315947313574,0.7543159473134031,0.9536570615087115,1.482584799811023,1.1407325396083652,0.05029419216791584
MEDIUM,MICE,XGB,0.8217178983782986,0.821717898378166,0.9642399025068749,1.2254552300777095,0.8604844126814887,0.03853157098541877
MEDIUM,MICE,LGBM,0.8317178906695505,0.8317178906694259,0.9651801971914248,1.1893054370165135,0.8356204798675718,0.03745224270352683
HIGH,MICE,LN,0.9331691909191308,0.9331691909191098,0.9752076672209447,1.08001806247217,0.7939269732077916,0.026074247510019233
HIGH,MICE,Ridge,0.9331692163890009,0.9331692163889801,0.9752076511794978,1.0800182662916196,0.7939278879801432,0.02607426292592248
HIGH,MICE,Lasso,0.9305231655330615,0.9305231655330397,0.974689409366684,1.0993350680199467,0.8106189797321955,0.026644703374917405
HIGH,MICE,KNN,0.9248076585299891,0.9248076585299663,0.9729618780102359,1.1680118160308273,0.8727799985726675,0.028469517114026427
HIGH,MICE,DT,0.8755456359586765,0.8755456359586385,0.9670816903979237,1.4912037005770502,1.0765166876951853,0.03522769633925258
HIGH,MICE,SVR,0.9411962862307043,0.9411962862306862,0.9766242725820667,1.0254299801535212,0.7493088170369465,0.02450643830823089
HIGH,MICE,RF,0.938569150808673,0.9385691508086538,0.9762742867293782,1.0407691599994964,0.7586883396069211,0.02490027870053559
HIGH,MICE,GB,0.9343729519791758,0.9343729519791556,0.975171856369571,1.0767619713452867,0.7975054609457652,0.02609663070899599
HIGH,MICE,Ada,0.8654271599285772,0.8654271599285346,0.9647450285746482,1.470459976883095,1.152734260336558,0.0375763420837774
HIGH,MICE,XGB,0.9370863236270133,0.937086323626994,0.9759693706684464,1.0592612776291375,0.7709636562188468,0.02523797034361021
HIGH,MICE,LGBM,0.9388887905125977,0.9388887905125788,0.9761619674112255,1.040295595270901,0.763951813920339,0.025016850334532634
