Level,Seed_Method,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓),NMAE (↓)
LOW,MICE,LN,0.7415156918938294,0.7415156918937227,0.9542030152806109,1.255480522320738,0.8801542654037476,0.05027173252858559
LOW,MICE,Ridge,0.7415156395608888,0.7415156395607821,0.9542029717499434,1.2554805524199697,0.8801550927162171,0.0502717775259041
LOW,MICE,Lasso,0.7411001808348767,0.7411001808347698,0.954161877683704,1.2561288709300311,0.880993594408035,0.05032047493075874
LOW,MICE,KNN,0.7111461357826463,0.7111461357825266,0.9519015988914772,1.3251332582257935,0.927637497663498,0.05307038823840097
LOW,MICE,DT,0.5256256261204655,0.5256256261202683,0.9382113248522824,1.6946427278115141,1.216671915054321,0.06977007437958416
LOW,MICE,SVR,0.754269353576285,0.754269353576183,0.9566912100991967,1.2203698461445616,0.8311286504268647,0.047539185259299795
LOW,MICE,RF,0.7099502765511497,0.7099502765510295,0.951458405875049,1.3244911863760291,0.9356552393436433,0.05353708793899575
LOW,MICE,GB,0.7552489090368176,0.7552489090367164,0.9557754638637601,1.21993370622463,0.8479048361778259,0.048469058320803185
LOW,MICE,Ada,0.6169630724279895,0.6169630724278322,0.9393628027221952,1.5315140235538616,1.1809523186683655,0.0673218153643082
LOW,MICE,XGB,0.7505126753992557,0.7505126753991522,0.955510199148107,1.2319009083897832,0.8529631826877593,0.04881406464227784
LOW,MICE,LGBM,0.7570848208236107,0.7570848208235101,0.9561800363551063,1.2150137872097257,0.839491586446762,0.0480279045760841
MEDIUM,MICE,LN,0.8265005783514452,0.8265005783513643,0.9627148577895064,1.2238117274889102,0.8995410690988813,0.04006588892220264
MEDIUM,MICE,Ridge,0.8265007753747947,0.8265007753747137,0.9627148437341859,1.2238108559298588,0.8995413516248976,0.040065900621964155
MEDIUM,MICE,Lasso,0.8239982516519053,0.8239982516518235,0.9622742510749408,1.2347571022605337,0.9111506320408412,0.04054964152705511
MEDIUM,MICE,KNN,0.8111410279769012,0.8111410279768136,0.9606889171943892,1.2907117638626924,0.9579143044437679,0.04236015745096271
MEDIUM,MICE,DT,0.6831103331480499,0.6831103331479025,0.9510950402340855,1.6620150495370947,1.2094107244695937,0.053841544663646254
MEDIUM,MICE,SVR,0.8408548973403024,0.8408548973402264,0.9653231602805056,1.1614256196408035,0.8342623262916291,0.037218979725264105
MEDIUM,MICE,RF,0.8391044086372464,0.8391044086371713,0.9646123626557351,1.1809854348689863,0.8526310767446246,0.03797468719903542
MEDIUM,MICE,GB,0.834913800211397,0.8349138002113198,0.9638332165658198,1.1909577105650544,0.8708998423474176,0.03880980425204302
MEDIUM,MICE,Ada,0.7547084535121069,0.7547084535120004,0.9524506455477811,1.4918537859737437,1.1701282024724142,0.0515434800023036
MEDIUM,MICE,XGB,0.8345541626539993,0.8345541626539207,0.9642300120059802,1.187345117808709,0.8596465190308434,0.03840649021756316
MEDIUM,MICE,LGBM,0.8433483825438787,0.8433483825438041,0.965157635202302,1.1519244257888837,0.8359728467634745,0.03734519366221172
HIGH,MICE,LN,0.9371337449443731,0.9371337449443619,0.9755944219680518,1.065842377966362,0.7827109828090668,0.02562025256546148
HIGH,MICE,Ridge,0.9371336615270752,0.9371336615270639,0.9755943930231921,1.0658433848027726,0.7827120745038987,0.025620283039777984
HIGH,MICE,Lasso,0.9352660597987432,0.9352660597987313,0.9752558762469079,1.0814609722645403,0.7933900740909575,0.025997692390497026
HIGH,MICE,KNN,0.9248778407256469,0.9248778407256337,0.9729708392103987,1.182578201700754,0.8729000286388399,0.028472688917609647
HIGH,MICE,DT,0.8729164430159515,0.8729164430159284,0.9668355246500052,1.4969121792615334,1.0848200162124635,0.03547631885006514
HIGH,MICE,SVR,0.9426565391441574,0.9426565391441473,0.9768493509884041,1.025825904750829,0.7431165022087096,0.02426256026540352
HIGH,MICE,RF,0.9411999896082769,0.9411999896082663,0.9766026478279596,1.0369533441903915,0.7507992026424408,0.02452769588420767
HIGH,MICE,GB,0.9395429970119048,0.9395429970118943,0.9760501054592272,1.0556935911501772,0.7699554650020599,0.02512903865390365
HIGH,MICE,Ada,0.8680420208396206,0.8680420208395963,0.9657035650991983,1.4463053508801014,1.122937634124756,0.0365608437856854
HIGH,MICE,XGB,0.9398947808214965,0.9398947808214859,0.976026958671067,1.0520073005828046,0.7700583621215822,0.02513606207472902
HIGH,MICE,LGBM,0.94226637829228,0.9422663782922701,0.9766404413803422,1.0296546818016195,0.7501876244926453,0.024478223233574608
