Level,Seed_Method,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓),NMAE (↓)
LOW,MICE,LN,0.7619821561814105,0.7619821561813428,0.955299082075317,1.2255010055183917,0.8561489186968122,0.048984323243501125
LOW,MICE,Ridge,0.7619819410194644,0.7619819410193966,0.9552989805005325,1.2255015098960471,0.8561507672922951,0.04898443124987818
LOW,MICE,Lasso,0.7620915525031535,0.7620915525030858,0.9551305667558406,1.2253354178609002,0.859212601525443,0.04915586195041466
LOW,MICE,KNN,0.7288629657109853,0.7288629657109078,0.9515132105638473,1.3034358648689945,0.9320714092254638,0.053361293813523974
LOW,MICE,DT,0.5162539070009521,0.5162539070008143,0.9368318440689524,1.7448852921282065,1.249076110976083,0.07156809472394612
LOW,MICE,SVR,0.7641870701736264,0.7641870701735591,0.9563477929151656,1.2171419290413175,0.8363427015713283,0.04787239005560465
LOW,MICE,RF,0.7236928510897749,0.7236928510896959,0.9509352016463885,1.3160555105102887,0.9437402074677604,0.054039908032821105
LOW,MICE,GB,0.7668571088100674,0.7668571088100009,0.9557711934683883,1.211523090850188,0.8461761728354863,0.04843334805916623
LOW,MICE,Ada,0.6648820354363552,0.6648820354362603,0.9412701771337276,1.4601299719697352,1.1359990864140648,0.064831004822639
LOW,MICE,XGB,0.7533886608528524,0.753388660852782,0.9550926789719745,1.2454581797428914,0.8616332360676356,0.04933451821413227
LOW,MICE,LGBM,0.7659856998462646,0.765985699846198,0.9558562358553531,1.212880566464782,0.8446470516068595,0.048364010793546366
MEDIUM,MICE,LN,0.8205076291562262,0.8205076291561618,0.9616021183393596,1.242177252694136,0.9229556636664332,0.04131170017408261
MEDIUM,MICE,Ridge,0.8205079952261026,0.8205079952260383,0.9616021180522669,1.2421760784547309,0.9229555579594202,0.04131169509817351
MEDIUM,MICE,Lasso,0.8182231578651405,0.8182231578650755,0.9611942629193676,1.2500163399059285,0.9320813872862835,0.04175690148587848
MEDIUM,MICE,KNN,0.7964916643914056,0.7964916643913315,0.959320559139179,1.3188476068251223,0.9832933599729928,0.04393947589839246
MEDIUM,MICE,DT,0.6540218484153938,0.6540218484152699,0.9487185796860188,1.7205025543107002,1.2646045956441334,0.05667743922682263
MEDIUM,MICE,SVR,0.831791797785898,0.8317917977858362,0.9637161362695871,1.189736681770558,0.8696564208244792,0.038986838650562815
MEDIUM,MICE,RF,0.8324897991749455,0.832489799174885,0.9631607037938223,1.198910804651724,0.885244382960456,0.03955143471150717
MEDIUM,MICE,GB,0.8297416057228195,0.8297416057227579,0.9628104682146726,1.208741911450955,0.8929162098923508,0.03995225492607842
MEDIUM,MICE,Ada,0.7551138328426782,0.7551138328425956,0.9518999729755241,1.4968587652595733,1.1761500886265115,0.052199110214231
MEDIUM,MICE,XGB,0.8282135738745283,0.8282135738744655,0.9627962877932236,1.2093617120909328,0.8924251620380248,0.03997491099751086
MEDIUM,MICE,LGBM,0.8355234638934442,0.8355234638933843,0.9636427558146867,1.18243834157519,0.8711114802895761,0.039014027493900885
HIGH,MICE,LN,0.9367634850720941,0.9367634850720866,0.9758808608757273,1.0567798052931636,0.7712808772393634,0.02531133806855845
HIGH,MICE,Ridge,0.9367635680007491,0.9367635680007416,0.9758808687901468,1.056778509624654,0.7712804509299142,0.025311328496892528
HIGH,MICE,Lasso,0.9353918247694929,0.9353918247694852,0.9755305223066675,1.068675111776291,0.782889765541894,0.02568836795772926
HIGH,MICE,KNN,0.9231123207855285,0.9231123207855195,0.9729619431345459,1.1801635883314072,0.8736728482859475,0.028470201281920255
HIGH,MICE,DT,0.876921301145777,0.8769213011457626,0.9672453071133924,1.4844430238854023,1.0725928781781877,0.034995318267527636
HIGH,MICE,SVR,0.9421445711775398,0.9421445711775328,0.9771056911846546,1.0172607112866845,0.7337298939228057,0.02397911159332191
HIGH,MICE,RF,0.9401033424902604,0.9401033424902535,0.9767217538190411,1.0335619837212846,0.7465098742689407,0.024395937955638547
HIGH,MICE,GB,0.9383790776838943,0.9383790776838871,0.976106784397087,1.050332328661638,0.7676540758473535,0.025049847463436904
HIGH,MICE,Ada,0.8637780407891701,0.8637780407891523,0.9657916212565266,1.4398940210840747,1.1171566116469247,0.03644230185060911
HIGH,MICE,XGB,0.9383578193829264,0.9383578193829191,0.9762962012406383,1.047789460060162,0.7615712720666612,0.024851590276013205
HIGH,MICE,LGBM,0.9409484989537105,0.9409484989537034,0.9767128439251651,1.0270542640583673,0.7471996659960065,0.02439123309217093
