Level,Model,MAE_MICE,MAE_SICE,NSE_MICE,NSE_SICE,R2_MICE,R2_SICE,RMSE_MICE,RMSE_SICE,Sim_MICE,Sim_SICE,Time_MICE,Time_SICE
HIGH,Ada,1.5264,1.4394,0.7263,0.7598,0.7263,0.7598,1.9235,1.8201,0.9476,0.95,123.2892,23.059
HIGH,DT,1.3165,1.3285,0.7228,0.7454,0.7228,0.7454,1.8563,1.7716,0.9531,0.9526,31.8819,14.108
HIGH,GB,0.961,0.9524,0.8744,0.876,0.8744,0.876,1.2869,1.2763,0.9651,0.9654,153.7368,26.4432
HIGH,KNN,1.0066,1.0103,0.8576,0.8562,0.8576,0.8562,1.3506,1.3605,0.9636,0.9636,16.1849,12.5041
HIGH,LGBM,0.9411,0.9312,0.8787,0.8799,0.8787,0.8799,1.2604,1.2522,0.9659,0.9663,20.2676,12.9086
HIGH,LN,0.9864,0.9864,0.8683,0.8683,0.8683,0.8683,1.3261,1.3262,0.9643,0.9643,12.3609,12.1543
HIGH,Lasso,1.0001,1.0,0.8632,0.8632,0.8632,0.8632,1.3485,1.3485,0.9638,0.9638,12.526,12.2115
HIGH,RF,0.942,0.9337,0.8743,0.8753,0.8743,0.8753,1.28,1.2774,0.966,0.9664,228.6813,34.0228
HIGH,Ridge,0.9864,0.9864,0.8683,0.8683,0.8683,0.8683,1.3261,1.3262,0.9643,0.9643,12.2457,12.1309
HIGH,SVR,0.9275,0.9263,0.8774,0.8777,0.8774,0.8777,1.2509,1.2496,0.9663,0.9664,937.2559,105.0688
HIGH,XGB,0.9453,0.9612,0.8741,0.8732,0.8741,0.8732,1.2707,1.2802,0.9655,0.9651,21.1703,12.9804
LOW,Ada,1.364,1.4021,0.6655,0.6528,0.6655,0.6528,1.6927,1.7246,0.9402,0.9385,77.8075,16.0168
LOW,DT,1.4358,1.3069,0.5791,0.6413,0.5791,0.6413,1.9022,1.709,0.9397,0.9426,22.1858,10.8016
LOW,GB,1.0068,1.0039,0.7972,0.7982,0.7972,0.7982,1.3267,1.3226,0.9564,0.9565,101.1862,18.7139
LOW,KNN,1.049,1.0511,0.7683,0.7677,0.7683,0.7677,1.4024,1.405,0.954,0.954,12.4844,9.819
LOW,LGBM,0.9712,0.9725,0.8069,0.8069,0.8069,0.8069,1.2894,1.2899,0.9576,0.9576,16.0506,10.1783
LOW,LN,1.14,1.1398,0.7595,0.7596,0.7595,0.7596,1.4523,1.4521,0.9517,0.9517,9.673,9.5745
LOW,Lasso,1.1456,1.1454,0.7562,0.7562,0.7562,0.7562,1.4644,1.4642,0.9515,0.9515,9.8257,9.5929
LOW,RF,0.9881,0.9961,0.7953,0.7954,0.7953,0.7954,1.3252,1.3253,0.957,0.9566,151.4701,23.8932
LOW,Ridge,1.14,1.1398,0.7595,0.7596,0.7595,0.7596,1.4523,1.4521,0.9517,0.9517,9.6371,9.5526
LOW,SVR,0.963,0.9626,0.8046,0.8046,0.8046,0.8046,1.3014,1.3012,0.9583,0.9583,730.2577,81.9175
LOW,XGB,0.9824,0.9826,0.8023,0.8037,0.8023,0.8037,1.2973,1.2992,0.9568,0.9571,17.3542,10.364
MED,Ada,1.0625,1.0759,0.8861,0.8815,0.8861,0.8815,1.3801,1.3874,0.9671,0.9666,533.6033,88.7995
MED,DT,1.0543,1.0855,0.8401,0.8497,0.8401,0.8497,1.444,1.4769,0.9669,0.9662,130.8816,48.5165
MED,GB,0.7945,0.7979,0.9188,0.918,0.9188,0.918,1.075,1.0797,0.9747,0.9746,708.2309,105.9596
MED,KNN,0.8883,0.8844,0.8988,0.8994,0.8988,0.8994,1.1958,1.1926,0.9718,0.9719,41.1303,39.6262
MED,LGBM,0.7614,0.7611,0.9231,0.9232,0.9231,0.9232,1.0297,1.0309,0.9756,0.9756,66.3267,41.9626
MED,LN,0.8191,0.8196,0.9055,0.9054,0.9055,0.9054,1.1133,1.1137,0.9737,0.9736,41.4235,39.5809
MED,Lasso,0.82,0.8204,0.9068,0.9068,0.9068,0.9068,1.1099,1.1101,0.9737,0.9736,43.9174,40.1485
MED,RF,0.7449,0.744,0.9248,0.9243,0.9248,0.9243,1.0145,1.0168,0.9761,0.9762,1041.7718,139.2473
MED,Ridge,0.8191,0.8196,0.9055,0.9054,0.9055,0.9054,1.1133,1.1137,0.9737,0.9736,40.0933,39.4031
MED,SVR,0.7748,0.7753,0.9179,0.9178,0.9179,0.9178,1.0592,1.0598,0.9753,0.9753,2223.6509,259.5822
MED,XGB,0.7633,0.7653,0.9216,0.9215,0.9216,0.9215,1.0271,1.0313,0.9755,0.9754,71.4731,42.5887
