Level,Model,MAE_MICE,MAE_SICE,NSE_MICE,NSE_SICE,R2_MICE,R2_SICE,RMSE_MICE,RMSE_SICE,Sim_MICE,Sim_SICE,Time_MICE,Time_SICE
HIGH,Ada,1.4199,1.433,0.6952,0.6831,0.6952,0.6831,1.7954,1.8352,0.951,0.9508,122.1482,22.9814
HIGH,DT,1.2399,1.298,0.7552,0.7451,0.7552,0.7451,1.7113,1.7472,0.9554,0.9538,31.037,13.5962
HIGH,GB,0.9033,0.9117,0.8798,0.8777,0.8798,0.8777,1.2317,1.2471,0.9672,0.967,155.119,25.96
HIGH,KNN,0.9705,0.9685,0.8642,0.8641,0.8642,0.8641,1.304,1.3036,0.9649,0.965,16.1486,12.0991
HIGH,LGBM,0.8914,0.8981,0.8799,0.878,0.8799,0.878,1.2169,1.2306,0.9675,0.9673,20.2361,12.4485
HIGH,LN,0.9321,0.94,0.8702,0.8682,0.8702,0.8682,1.2733,1.2878,0.966,0.9658,12.3231,11.7063
HIGH,Lasso,0.9385,0.9467,0.8692,0.8673,0.8692,0.8673,1.2806,1.2947,0.9658,0.9656,12.9372,11.7681
HIGH,RF,0.9057,0.9089,0.8761,0.8745,0.8761,0.8745,1.2462,1.2522,0.9672,0.9671,229.5139,33.3112
HIGH,Ridge,0.9321,0.94,0.8702,0.8682,0.8702,0.8682,1.2733,1.2878,0.966,0.9658,12.03,11.6775
HIGH,SVR,0.8784,0.8906,0.8814,0.8786,0.8814,0.8786,1.2056,1.2276,0.9679,0.9676,928.1349,103.8113
HIGH,XGB,0.9082,0.9101,0.8736,0.8735,0.8736,0.8735,1.236,1.2484,0.9668,0.9669,20.3343,12.4713
LOW,Ada,1.3888,1.3859,0.6216,0.6215,0.6216,0.6215,1.7609,1.7522,0.9382,0.9381,77.4027,15.7486
LOW,DT,1.3939,1.4022,0.55,0.5365,0.55,0.5365,1.9098,1.9441,0.9399,0.9399,21.3238,10.0454
LOW,GB,1.0287,1.0283,0.7626,0.7618,0.7626,0.7618,1.3918,1.3938,0.9542,0.9543,101.0951,18.0372
LOW,KNN,1.0477,1.0468,0.7447,0.7451,0.7447,0.7451,1.4403,1.4392,0.9532,0.9532,11.7765,9.0776
LOW,LGBM,0.9878,0.9898,0.7751,0.7757,0.7751,0.7757,1.3501,1.35,0.9557,0.9556,14.9351,9.4564
LOW,LN,1.1094,1.1081,0.7355,0.7361,0.7355,0.7361,1.4771,1.4754,0.9515,0.9516,8.985,8.8309
LOW,Lasso,1.1134,1.1124,0.7359,0.7364,0.7359,0.7364,1.4769,1.4756,0.9513,0.9514,9.0958,8.8485
LOW,RF,0.9817,0.9866,0.7724,0.7743,0.7724,0.7743,1.356,1.3529,0.9559,0.9557,149.7129,22.9403
LOW,Ridge,1.1094,1.1081,0.7355,0.7361,0.7355,0.7361,1.4771,1.4754,0.9515,0.9516,8.9331,8.8103
LOW,SVR,0.9804,0.9806,0.7708,0.7707,0.7708,0.7707,1.3619,1.3621,0.9563,0.9562,720.7265,79.3663
LOW,XGB,1.0002,1.0021,0.7642,0.7632,0.7642,0.7632,1.3801,1.3858,0.9552,0.9551,14.9851,9.4373
MED,Ada,1.0858,1.082,0.8732,0.8746,0.8732,0.8746,1.3934,1.3849,0.9662,0.9662,525.1651,85.8788
MED,DT,1.0789,1.0897,0.8461,0.8468,0.8461,0.8468,1.4636,1.4775,0.9662,0.9661,128.2907,46.8383
MED,GB,0.8027,0.8034,0.9169,0.9171,0.9169,0.9171,1.0772,1.0761,0.9745,0.9745,700.8589,103.8113
MED,KNN,0.9062,0.9064,0.892,0.8922,0.892,0.8922,1.2156,1.2156,0.9712,0.9712,40.847,37.9477
MED,LGBM,0.7752,0.7739,0.9209,0.9217,0.9209,0.9217,1.0488,1.0463,0.9753,0.9754,64.5295,40.4801
MED,LN,0.815,0.8133,0.9094,0.9108,0.9094,0.9108,1.1016,1.0986,0.9739,0.974,40.3024,37.9174
MED,Lasso,0.8227,0.8216,0.9088,0.9099,0.9088,0.9099,1.1079,1.1058,0.9737,0.9738,45.2527,38.5184
MED,RF,0.7648,0.7637,0.9221,0.923,0.9221,0.923,1.0409,1.0403,0.9756,0.9757,1021.9898,135.841
MED,Ridge,0.815,0.8133,0.9094,0.9108,0.9094,0.9108,1.1016,1.0986,0.9739,0.974,38.7165,37.7539
MED,SVR,0.7739,0.7728,0.9188,0.9199,0.9188,0.9199,1.0577,1.0555,0.9753,0.9754,2191.3738,257.005
MED,XGB,0.7855,0.7842,0.9178,0.9194,0.9178,0.9194,1.0677,1.0621,0.9749,0.975,69.7043,40.8422
