Level,Model,MAE_MICE,MAE_SICE,NSE_MICE,NSE_SICE,R2_MICE,R2_SICE,RMSE_MICE,RMSE_SICE,Sim_MICE,Sim_SICE,Time_MICE,Time_SICE
HIGH,Ada,1.3445,1.4069,0.7603,0.7248,0.7603,0.7248,1.7421,1.8137,0.9534,0.9516,120.0451,22.1925
HIGH,DT,1.27,1.287,0.7636,0.7624,0.7636,0.7624,1.758,1.7682,0.955,0.9546,30.3159,13.3349
HIGH,GB,0.9285,0.9267,0.8833,0.8838,0.8833,0.8838,1.2484,1.2468,0.9665,0.9666,153.0501,25.6141
HIGH,KNN,0.9806,0.9854,0.8695,0.8683,0.8695,0.8683,1.3117,1.3205,0.9647,0.9646,16.5173,11.9129
HIGH,LGBM,0.9142,0.9154,0.8856,0.8854,0.8856,0.8854,1.2339,1.2363,0.9671,0.9671,19.0969,12.3298
HIGH,LN,0.9543,0.9571,0.8767,0.8766,0.8767,0.8766,1.2793,1.2814,0.9656,0.9655,12.0545,11.4766
HIGH,Lasso,0.9585,0.9608,0.8759,0.8758,0.8759,0.8758,1.2847,1.2869,0.9654,0.9654,12.6574,11.5294
HIGH,RF,0.9194,0.9256,0.8825,0.8821,0.8825,0.8821,1.2487,1.2551,0.9669,0.9668,225.9927,33.4508
HIGH,Ridge,0.9543,0.9571,0.8767,0.8766,0.8767,0.8766,1.2793,1.2814,0.9656,0.9655,11.7813,11.4426
HIGH,SVR,0.9116,0.9162,0.8847,0.8842,0.8847,0.8842,1.2309,1.2361,0.9671,0.967,905.5409,100.8181
HIGH,XGB,0.9309,0.9299,0.8801,0.8819,0.8801,0.8819,1.2603,1.2592,0.9665,0.9667,19.801,12.2605
LOW,Ada,1.4145,1.4196,0.5995,0.5973,0.5995,0.5973,1.7719,1.7736,0.9375,0.9375,79.2395,16.0502
LOW,DT,1.4033,1.3955,0.5149,0.5209,0.5149,0.5209,1.958,1.9404,0.94,0.9397,21.2602,10.1109
LOW,GB,1.0349,1.0355,0.7478,0.7473,0.7478,0.7473,1.4043,1.4056,0.9543,0.9543,101.2989,18.0825
LOW,KNN,1.052,1.0521,0.7302,0.729,0.7302,0.729,1.4479,1.4507,0.9529,0.9529,12.6717,9.2346
LOW,LGBM,0.9939,0.9935,0.7578,0.7579,0.7578,0.7579,1.3746,1.3741,0.9557,0.9558,15.555,9.5526
LOW,LN,1.1263,1.1254,0.7165,0.7169,0.7165,0.7169,1.4936,1.4925,0.9511,0.9511,9.0488,8.8855
LOW,Lasso,1.1249,1.1244,0.7182,0.7185,0.7182,0.7185,1.49,1.4892,0.9511,0.9512,9.1899,8.9263
LOW,RF,1.0093,1.0033,0.7491,0.7515,0.7491,0.7515,1.3989,1.3916,0.955,0.9552,149.454,22.8369
LOW,Ridge,1.1263,1.1254,0.7165,0.7169,0.7165,0.7169,1.4936,1.4925,0.9511,0.9511,8.9991,8.8772
LOW,SVR,0.9765,0.9752,0.7588,0.7591,0.7588,0.7591,1.3726,1.3716,0.9567,0.9567,709.767,79.3224
LOW,XGB,1.0019,1.0076,0.748,0.7457,0.748,0.7457,1.403,1.406,0.9553,0.955,15.1405,9.4695
MED,Ada,1.0485,1.0555,0.8836,0.8827,0.8836,0.8827,1.3538,1.3577,0.9672,0.967,522.9613,87.4484
MED,DT,1.0887,1.0991,0.8465,0.844,0.8465,0.844,1.4874,1.5071,0.9659,0.9658,128.8641,47.8445
MED,GB,0.7866,0.7831,0.9198,0.9205,0.9198,0.9205,1.0753,1.0717,0.9749,0.975,704.9331,105.7076
MED,KNN,0.9005,0.8961,0.9,0.9012,0.9,0.9012,1.2173,1.2113,0.9714,0.9715,43.2508,39.2135
MED,LGBM,0.7603,0.7617,0.9238,0.9236,0.9238,0.9236,1.0451,1.0474,0.9757,0.9757,65.6616,41.4343
MED,LN,0.8089,0.8077,0.912,0.9124,0.912,0.9124,1.0988,1.0978,0.974,0.9741,41.3729,39.1008
MED,Lasso,0.815,0.8141,0.9116,0.9119,0.9116,0.9119,1.1069,1.1057,0.9739,0.9739,45.4535,39.3913
MED,RF,0.7584,0.761,0.9228,0.9235,0.9228,0.9235,1.0505,1.0503,0.9757,0.9757,1031.7803,138.1301
MED,Ridge,0.8089,0.8077,0.912,0.9124,0.912,0.9124,1.0988,1.0978,0.974,0.9741,39.7965,38.8723
MED,SVR,0.7565,0.7561,0.9235,0.9238,0.9235,0.9238,1.0465,1.0465,0.9758,0.9759,2208.6525,255.0131
MED,XGB,0.7763,0.7778,0.9205,0.9216,0.9205,0.9216,1.0702,1.0708,0.9752,0.9752,69.7988,42.0328
