Level,Seed_Method,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓)
LOW,SEED_LGBM,Ada,0.637657895,0.637657895,0.941306348,1.504066802,1.14156238
LOW,SEED_LGBM,DT,0.530203599,0.530203599,0.938721535,1.694155278,1.211104203
LOW,SEED_LGBM,GB,0.75647188,0.75647188,0.955070103,1.211164395,0.860507299
LOW,SEED_LGBM,KNN,0.740469998,0.740469998,0.953796002,1.257876882,0.887125007
LOW,SEED_LGBM,LGBM,0.760096126,0.760096126,0.955346219,1.203195304,0.854544797
LOW,SEED_LGBM,LN,0.751600853,0.751600853,0.954490105,1.223810766,0.872937906
LOW,SEED_LGBM,Lasso,0.750474011,0.750474011,0.954368455,1.226245781,0.875431704
LOW,SEED_LGBM,RF,0.71851066,0.71851066,0.951897252,1.306129008,0.927148224
LOW,SEED_LGBM,Ridge,0.751600452,0.751600452,0.954490025,1.223811712,0.87293941
LOW,SEED_LGBM,SVR,0.762227432,0.762227432,0.956245984,1.194727686,0.838680379
LOW,SEED_LGBM,XGB,0.757206462,0.757206462,0.954981052,1.216569075,0.862557321
MED,SEED_LGBM,Ada,0.74632077,0.74632077,0.952981645,1.493617826,1.153190233
MED,SEED_LGBM,DT,0.676888258,0.676888258,0.951109779,1.677088153,1.212738112
MED,SEED_LGBM,GB,0.824243462,0.824243462,0.96397575,1.221185041,0.866603503
MED,SEED_LGBM,KNN,0.800462784,0.800462784,0.961017388,1.297886814,0.944333345
MED,SEED_LGBM,LGBM,0.832351179,0.832351179,0.965280564,1.187590046,0.834043258
MED,SEED_LGBM,LN,0.813139661,0.813139661,0.962617188,1.257240501,0.901046175
MED,SEED_LGBM,Lasso,0.814608232,0.814608232,0.96252091,1.251390119,0.901971891
MED,SEED_LGBM,RF,0.830541934,0.830541934,0.965144601,1.198015921,0.839720829
MED,SEED_LGBM,Ridge,0.813139996,0.813139996,0.962617179,1.257239335,0.901046248
MED,SEED_LGBM,SVR,0.826253673,0.826253673,0.965070347,1.200595368,0.838890373
MED,SEED_LGBM,XGB,0.825774264,0.825774264,0.964572679,1.212114409,0.852341263
HIGH,SEED_LGBM,Ada,0.851637237,0.851637237,0.964170171,1.492894182,1.174428274
HIGH,SEED_LGBM,DT,0.878272972,0.878272972,0.967331575,1.461589284,1.06515001
HIGH,SEED_LGBM,GB,0.934920515,0.934920515,0.975268433,1.073972252,0.794407501
HIGH,SEED_LGBM,KNN,0.92542831,0.92542831,0.973115313,1.16301773,0.86730332
HIGH,SEED_LGBM,LGBM,0.938992473,0.938992473,0.976194384,1.038624326,0.762902554
HIGH,SEED_LGBM,LN,0.933182994,0.933182994,0.975213806,1.07985084,0.793768674
HIGH,SEED_LGBM,Lasso,0.930569109,0.930569109,0.974697522,1.09915204,0.810407933
HIGH,SEED_LGBM,RF,0.938859623,0.938859623,0.976334195,1.037819364,0.757017668
HIGH,SEED_LGBM,Ridge,0.933182974,0.933182974,0.975213783,1.079850619,0.793769296
HIGH,SEED_LGBM,SVR,0.941185354,0.941185354,0.976627111,1.025502091,0.7492428
HIGH,SEED_LGBM,XGB,0.93685587,0.93685587,0.975827665,1.057620339,0.774548554
