Level,Seed_Method,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓)
LOW,SEED_LGBM,Ada,0.652738092,0.652738092,0.94279881,1.461899945,1.108174167
LOW,SEED_LGBM,DT,0.531590087,0.531590087,0.93909949,1.694358555,1.201991675
LOW,SEED_LGBM,GB,0.755762995,0.755762995,0.9557897,1.218397849,0.847530177
LOW,SEED_LGBM,KNN,0.711733649,0.711733649,0.952081105,1.322169746,0.9239
LOW,SEED_LGBM,LGBM,0.757983027,0.757983027,0.956165799,1.212411469,0.83958589
LOW,SEED_LGBM,LN,0.741646801,0.741646801,0.954213012,1.255159646,0.879938372
LOW,SEED_LGBM,Lasso,0.741234768,0.741234768,0.954170882,1.255801766,0.88079623
LOW,SEED_LGBM,RF,0.7130023,0.7130023,0.951805731,1.318039657,0.928552677
LOW,SEED_LGBM,Ridge,0.741646661,0.741646661,0.954212929,1.255159926,0.87993995
LOW,SEED_LGBM,SVR,0.754348773,0.754348773,0.956707894,1.220153815,0.830806312
LOW,SEED_LGBM,XGB,0.751670193,0.751670193,0.955581904,1.230230521,0.851595114
MED,SEED_LGBM,Ada,0.755870023,0.755870023,0.95256356,1.484857226,1.163903963
MED,SEED_LGBM,DT,0.682678584,0.682678584,0.951183797,1.65945297,1.20823218
MED,SEED_LGBM,GB,0.83418501,0.83418501,0.963903485,1.200279623,0.871155791
MED,SEED_LGBM,KNN,0.811628906,0.811628906,0.960845555,1.2916952,0.955517876
MED,SEED_LGBM,LGBM,0.842663887,0.842663887,0.965050261,1.163565527,0.840703097
MED,SEED_LGBM,LN,0.826618357,0.826618357,0.96279997,1.227792625,0.898938661
MED,SEED_LGBM,Lasso,0.823678908,0.823678908,0.962353655,1.240010293,0.91034888
MED,SEED_LGBM,RF,0.839069871,0.839069871,0.964543111,1.185964833,0.855588568
MED,SEED_LGBM,Ridge,0.826618584,0.826618584,0.962799941,1.227792353,0.898939396
MED,SEED_LGBM,SVR,0.839504544,0.839504544,0.965271765,1.17338065,0.838337044
MED,SEED_LGBM,XGB,0.836733492,0.836733492,0.964406023,1.193346934,0.859357777
HIGH,SEED_LGBM,Ada,0.860320824,0.860320824,0.965319009,1.45988997,1.137562397
HIGH,SEED_LGBM,DT,0.879991223,0.879991223,0.967321278,1.471065562,1.068920017
HIGH,SEED_LGBM,GB,0.939276404,0.939276404,0.976036344,1.057873363,0.770663023
HIGH,SEED_LGBM,KNN,0.925224951,0.925224951,0.973013708,1.178776264,0.871138026
HIGH,SEED_LGBM,LGBM,0.942029411,0.942029411,0.976603488,1.031007581,0.751362419
HIGH,SEED_LGBM,LN,0.937334817,0.937334817,0.975613079,1.064647602,0.782141543
HIGH,SEED_LGBM,Lasso,0.935442102,0.935442102,0.975270864,1.080410547,0.792939214
HIGH,SEED_LGBM,RF,0.941253757,0.941253757,0.97658212,1.036649148,0.751333402
HIGH,SEED_LGBM,Ridge,0.937334883,0.937334883,0.975613083,1.064647114,0.782141286
HIGH,SEED_LGBM,SVR,0.942633572,0.942633572,0.976842744,1.025966426,0.743329278
HIGH,SEED_LGBM,XGB,0.940654131,0.940654131,0.976291097,1.04777913,0.763097813
