Level,Seed_Method,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓)
LOW,MICE_LGBM,Ada,0.6382780647834482,0.6382780647833001,0.9413538533774116,1.4912184097001109,1.139790226859442
LOW,MICE_LGBM,DT,0.5258404972105735,0.5258404972103774,0.9374223661107072,1.7006642921178396,1.232644810438156
LOW,MICE_LGBM,GB,0.7547995113360441,0.7547995113359427,0.9557434887018961,1.221484555986909,0.8488387440564181
LOW,MICE_LGBM,KNN,0.7128474263774618,0.7128474263773429,0.9520997490609268,1.320552237866022,0.923325026512146
LOW,MICE_LGBM,LGBM,0.7563636310550028,0.7563636310549018,0.956093892824377,1.2155839158305228,0.8410347961099984
LOW,MICE_LGBM,LN,0.7415150720311166,0.74151507203101,0.9542030617918315,1.2554818160631802,0.880153678061773
LOW,MICE_LGBM,Lasso,0.7410999765779395,0.7410999765778326,0.9541619074595853,1.2561293648305822,0.8809930858196684
LOW,MICE_LGBM,RF,0.7105525069662098,0.7105525069660898,0.9515087679812627,1.323391366159558,0.9350129948924011
LOW,MICE_LGBM,Ridge,0.7415149317142722,0.7415149317141655,0.9542029765140445,1.2554820960483672,0.8801552929188107
LOW,MICE_LGBM,SVR,0.7542816320277528,0.7542816320276508,0.9566912707164503,1.2203394323603334,0.8311254321056798
LOW,MICE_LGBM,XGB,0.7513443994268338,0.7513443994267309,0.9558310744489724,1.2306047095395054,0.8469773097038268
LOW,MICE_LINEAR,Ada,0.6504232842277882,0.6504232842276447,0.942290307085424,1.466400206174933,1.119479089307362
LOW,MICE_LINEAR,DT,0.4957240350592631,0.4957240350590531,0.9376566123355692,1.7455716270455535,1.2342583635052045
LOW,MICE_LINEAR,GB,0.7543027808326364,0.7543027808325347,0.9556798076531696,1.2227500688339823,0.8499102632906503
LOW,MICE_LINEAR,KNN,0.712906880391148,0.712906880391029,0.9520735859760006,1.3200843797094834,0.9239125308990479
LOW,MICE_LINEAR,LGBM,0.7571833958870162,0.7571833958869156,0.9561892107231253,1.2142711592529198,0.8392920875142629
LOW,MICE_LINEAR,LN,0.7415157431120112,0.7415157431119045,0.954203161810041,1.2554802540700782,0.8801516404151917
LOW,MICE_LINEAR,Lasso,0.7411004640835537,0.7411004640834469,0.9541619859642377,1.2561282289975932,0.8809914987087248
LOW,MICE_LINEAR,RF,0.7100501083357518,0.7100501083356315,0.9514161969593491,1.3239961886831155,0.9360697848486053
LOW,MICE_LINEAR,Ridge,0.7415155785687474,0.7415155785686407,0.954203073304892,1.2554805871662484,0.8801533224582673
LOW,MICE_LINEAR,SVR,0.7542743138493818,0.7542743138492799,0.9566919075599295,1.2203581091288502,0.8311156088112187
