Level,Seed_Method,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓)
LOW,SEED_LGBM,Ada,0.669179396,0.669179396,0.941961283,1.451243871,1.12245058
LOW,SEED_LGBM,DT,0.552360117,0.552360117,0.938136072,1.67889946,1.217298383
LOW,SEED_LGBM,GB,0.767534396,0.767534396,0.955735711,1.209823845,0.846724949
LOW,SEED_LGBM,KNN,0.735223869,0.735223869,0.951963949,1.287642664,0.922410732
LOW,SEED_LGBM,LGBM,0.766897272,0.766897272,0.95586375,1.209558584,0.844057832
LOW,SEED_LGBM,LN,0.763253465,0.763253465,0.955298751,1.222725001,0.855927765
LOW,SEED_LGBM,Lasso,0.763163742,0.763163742,0.955134386,1.223076391,0.858973127
LOW,SEED_LGBM,RF,0.725377479,0.725377479,0.951113889,1.313288471,0.940464627
LOW,SEED_LGBM,Ridge,0.763253448,0.763253448,0.955298676,1.222725009,0.855929128
LOW,SEED_LGBM,SVR,0.765539692,0.765539692,0.95630939,1.2142017,0.836758657
LOW,SEED_LGBM,XGB,0.757351936,0.757351936,0.955035932,1.235880324,0.861522234
MED,SEED_LGBM,Ada,0.75560689,0.75560689,0.951746775,1.500691556,1.183571003
MED,SEED_LGBM,DT,0.669519665,0.669519665,0.949632519,1.675515365,1.238137766
MED,SEED_LGBM,GB,0.82974289,0.82974289,0.962828594,1.206836175,0.891508741
MED,SEED_LGBM,KNN,0.798192105,0.798192105,0.959613604,1.311542261,0.975147951
MED,SEED_LGBM,LGBM,0.835126178,0.835126178,0.9635367,1.183233569,0.873364423
MED,SEED_LGBM,LN,0.821356044,0.821356044,0.961700373,1.238699344,0.920404522
MED,SEED_LGBM,Lasso,0.819027112,0.819027112,0.96129364,1.246586492,0.929387565
MED,SEED_LGBM,RF,0.832745183,0.832745183,0.963224699,1.198828474,0.884684436
MED,SEED_LGBM,Ridge,0.821356343,0.821356343,0.961700354,1.238698657,0.920404949
MED,SEED_LGBM,SVR,0.833080428,0.833080428,0.963801877,1.184079206,0.867461534
MED,SEED_LGBM,XGB,0.82611549,0.82611549,0.962709886,1.21261097,0.894330296
HIGH,SEED_LGBM,Ada,0.887247105,0.887247105,0.966919679,1.391628926,1.076714875
HIGH,SEED_LGBM,DT,0.879243203,0.879243203,0.967376052,1.463602618,1.066764304
HIGH,SEED_LGBM,GB,0.938271286,0.938271286,0.976085951,1.052283504,0.768695967
HIGH,SEED_LGBM,KNN,0.924076006,0.924076006,0.973150621,1.172762577,0.867839993
HIGH,SEED_LGBM,LGBM,0.941009829,0.941009829,0.976716093,1.026771021,0.74694636
HIGH,SEED_LGBM,LN,0.936843382,0.936843382,0.975886105,1.056645754,0.771282466
HIGH,SEED_LGBM,Lasso,0.935468852,0.935468852,0.975534399,1.068532987,0.782956535
HIGH,SEED_LGBM,RF,0.94010984,0.94010984,0.97672326,1.033058749,0.745836714
HIGH,SEED_LGBM,Ridge,0.936843445,0.936843445,0.975886095,1.056645092,0.771282725
HIGH,SEED_LGBM,SVR,0.942035716,0.942035716,0.977079239,1.018595253,0.734850811
HIGH,SEED_LGBM,XGB,0.937376556,0.937376556,0.976149142,1.053877954,0.765603322
