Level,Seed_Method,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓)
LOW,MICE_LGBM,Ada,0.6317248036784968,0.6317248036782476,0.9404802721180691,1.5188946183593637,1.1589840840204746
LOW,MICE_LGBM,DT,0.5905298596796424,0.5905298596793628,0.9405598896746544,1.5893006567291312,1.164013926949766
LOW,MICE_LGBM,GB,0.7577681268420609,0.757768126841893,0.9551592965936679,1.2080724124633913,0.8586113077508553
LOW,MICE_LGBM,KNN,0.7372218910569702,0.7372218910567888,0.9534641955459623,1.2650179977653189,0.8937292206287384
LOW,MICE_LGBM,LGBM,0.7628683349870142,0.76286833498685,0.955516944153013,1.195992058083316,0.8507655609291409
LOW,MICE_LGBM,LN,0.7516370180810859,0.7516370180809142,0.9544989174304094,1.22370049791412,0.8727601891255051
LOW,MICE_LGBM,Lasso,0.750506652734191,0.7505066527340186,0.9543736623585544,1.2261442418954787,0.8753210946108645
LOW,MICE_LGBM,RF,0.7190118082079653,0.7190118082077714,0.9519125408659854,1.3058163168098655,0.9268176604791376
LOW,MICE_LGBM,Ridge,0.7516366222091115,0.7516366222089399,0.9544988383512099,1.2237014314392776,0.8727616898780546
LOW,MICE_LGBM,SVR,0.7625032331715487,0.7625032331713839,0.9562666754673708,1.1940093732763837,0.8382158597946101
LOW,MICE_LGBM,XGB,0.7592945079591208,0.7592945079589545,0.95539834704552,1.2095775688721437,0.8543768819173176
LOW,MICE_LINEAR,Ada,0.6367604812967935,0.6367604812965473,0.9412127670376197,1.50715320562929,1.1432228277248444
LOW,MICE_LINEAR,DT,0.5400698267613251,0.5400698267610067,0.9382276881949527,1.6719044209887508,1.2160295249356163
LOW,MICE_LINEAR,GB,0.7567180560406587,0.75671805604049,0.955153179311129,1.2100048568669661,0.858988364315283
LOW,MICE_LINEAR,KNN,0.7387677462902527,0.7387677462900722,0.9535101320403137,1.2607424844254635,0.8924375585714976
LOW,MICE_LINEAR,LGBM,0.7607885822536109,0.7607885822534455,0.9553312023104573,1.203196295506814,0.854833251922049
LOW,MICE_LINEAR,LN,0.7516385931941881,0.7516385931940164,0.9544994339144527,1.2236960732799687,0.8727500561873118
LOW,MICE_LINEAR,Lasso,0.7505080660179749,0.7505080660178023,0.9543737674678032,1.226140429863606,0.8753186070919037
LOW,MICE_LINEAR,RF,0.7144168457679907,0.7144168457677935,0.9513136141997423,1.3160790757069214,0.9386789768697041
LOW,MICE_LINEAR,Ridge,0.7516381646106027,0.7516381646104311,0.9544993484197322,1.2236970747906297,0.8727516774336498
LOW,MICE_LINEAR,SVR,0.7625001607638513,0.7625001607636865,0.9562658954825295,1.194015963915238,0.8382286559155216
LOW,MICE_LINEAR,XGB,0.7550325320094092,0.7550325320092407,0.9550373235219941,1.222727228693189,0.86219993074735
MEDIUM,MICE_LGBM,Ada,0.7510881711886785,0.7510881711885051,0.953409946653319,1.4874727744676164,1.14374802498118
MEDIUM,MICE_LGBM,DT,0.676824804291004,0.676824804290759,0.9515361438458493,1.6600429877211382,1.1941667035080137
MEDIUM,MICE_LGBM,GB,0.8241879461796511,0.8241879461795218,0.9639350933171821,1.2200210788799681,0.8667128049575804
MEDIUM,MICE_LGBM,KNN,0.7989329913133228,0.7989329913131736,0.9609919149210067,1.302360435417593,0.9453154894283841
MEDIUM,MICE_LGBM,LGBM,0.8311044024701817,0.8311044024700563,0.9651712703687174,1.1911520027206384,0.836609233024337
MEDIUM,MICE_LGBM,LN,0.8126612531552343,0.8126612531550962,0.9625852048379526,1.2584577155016556,0.9017554229680471
MEDIUM,MICE_LGBM,Lasso,0.8142152746176913,0.8142152746175544,0.9624889117576253,1.252402809449384,0.9026955859463089
MEDIUM,MICE_LGBM,RF,0.8286067038002908,0.8286067038001635,0.9650038540450642,1.203599272687065,0.8428577345467749
MEDIUM,MICE_LGBM,Ridge,0.8126615972748488,0.8126615972747105,0.9625851940451364,1.2584565100114344,0.9017555431690268
MEDIUM,MICE_LGBM,SVR,0.8257936649195093,0.8257936649193786,0.9650335522072905,1.2047262917919064,0.8404180936150726
MEDIUM,MICE_LGBM,XGB,0.8223767270883287,0.8223767270881971,0.9644544007689457,1.2211131576834493,0.8562421235584077
MEDIUM,MICE_LINEAR,Ada,0.7451736925816826,0.7451736925815036,0.9528042224354205,1.49967909272913,1.1593920773403557
MEDIUM,MICE_LINEAR,DT,0.679303647088347,0.6793036470881119,0.951994170795852,1.6647369571641533,1.1872917036215465
MEDIUM,MICE_LINEAR,GB,0.8246849187025586,0.8246849187024298,0.9641127382734923,1.2176240361701949,0.8626193007195171
MEDIUM,MICE_LINEAR,KNN,0.7981783447100799,0.7981783447099302,0.9609268643503874,1.3053512167265857,0.9473333486488889
MEDIUM,MICE_LINEAR,LGBM,0.8308896985523299,0.8308896985522047,0.9651021497575283,1.1923599487354333,0.8386324389123828
MEDIUM,MICE_LINEAR,LN,0.8126565421703997,0.8126565421702613,0.9625846044580175,1.2584727628116532,0.9017695346900396
MEDIUM,MICE_LINEAR,Lasso,0.8142102356783868,0.8142102356782496,0.9624883157444712,1.2524199533276799,0.9027099461782547
MEDIUM,MICE_LINEAR,RF,0.8301134420096438,0.8301134420095179,0.9650483566747089,1.1995265880904162,0.8412089250598634
MEDIUM,MICE_LINEAR,Ridge,0.8126568772583652,0.8126568772582271,0.962584592265629,1.2584715841430218,0.9017697052728563
MEDIUM,MICE_LINEAR,SVR,0.8257778690082004,0.8257778690080696,0.9650317127615063,1.2048136380175893,0.8404701629113951
MEDIUM,MICE_LINEAR,XGB,0.8251198804030072,0.8251198804028783,0.964463884327708,1.2150709606676902,0.8548962152571905
HIGH,MICE_LGBM,Ada,0.867305166433841,0.8673051664337992,0.9648241957018077,1.4640268129694898,1.1495065655091223
HIGH,MICE_LGBM,DT,0.88026758787681,0.8802675878767736,0.9675707949692108,1.4675704010242412,1.0605666945457457
HIGH,MICE_LGBM,GB,0.9345847941862248,0.9345847941862045,0.9751983400764961,1.0755330161490164,0.7965272621319128
HIGH,MICE_LGBM,KNN,0.9249990420680965,0.9249990420680735,0.9730042040122384,1.166684227910111,0.8713933346589406
HIGH,MICE_LGBM,LGBM,0.9386434223259364,0.9386434223259174,0.9761859895532209,1.040551904858746,0.7631950763516824
HIGH,MICE_LGBM,LN,0.933170293070202,0.9331702930701812,0.9752078139624275,1.0800125517793788,0.7939226429522137
HIGH,MICE_LGBM,Lasso,0.9305292189383348,0.9305292189383132,0.9746904015383886,1.0993064287952663,0.8105904608240044
HIGH,MICE_LGBM,RF,0.9384750309535533,0.9384750309535341,0.976297995649158,1.0410676556947243,0.7577386684731642
HIGH,MICE_LGBM,Ridge,0.9331702733838108,0.9331702733837898,0.9752077930305787,1.0800123107231865,0.7939232005687415
HIGH,MICE_LGBM,SVR,0.9411974329069517,0.9411974329069337,0.9766244774960974,1.025424683498874,0.7493014941182526
HIGH,MICE_LGBM,XGB,0.9363986225765679,0.9363986225765483,0.9757673083595462,1.0634709053055087,0.7783143240133922
HIGH,MICE_LINEAR,Ada,0.8494486437733293,0.8494486437732806,0.9638997624612226,1.495889140843813,1.1840093261725624
HIGH,MICE_LINEAR,DT,0.8768363182173127,0.8768363182172743,0.9670371211713131,1.4756850458761182,1.073983348004023
HIGH,MICE_LINEAR,GB,0.9345896484133278,0.9345896484133077,0.9752249741035374,1.075633918146604,0.7958275042238223
HIGH,MICE_LINEAR,KNN,0.9248498775409846,0.9248498775409617,0.9729725027327509,1.168188900603108,0.8725433324337005
HIGH,MICE_LINEAR,LGBM,0.9386897116423907,0.9386897116423717,0.9761697304137908,1.0411715599583697,0.7637021656528603
HIGH,MICE_LINEAR,LN,0.9331685340938978,0.9331685340938769,0.9752075780353843,1.0800209975761264,0.7939293649037679
