Level,Seed_Method,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓)
LOW,MICE_LGBM,Ada,0.6177969932140575,0.6177969932131839,0.9380904623861358,1.493278381544159,1.2014848943104948
LOW,MICE_LGBM,DT,0.4429611475811566,0.4429611475797782,0.9353383387012204,1.7520963719011364,1.2772135091821353
LOW,MICE_LGBM,GB,0.766285005815009,0.7662850058144419,0.9555686059246216,1.1465855283676978,0.8448803020379031
LOW,MICE_LGBM,KNN,0.6978068216057846,0.6978068216050469,0.9497370184555075,1.3010111098113966,0.9640625011920929
LOW,MICE_LGBM,LGBM,0.7596065732518298,0.7596065732512509,0.9552358442919958,1.1667402369325777,0.8527082464802394
LOW,MICE_LGBM,LN,0.7528404236926067,0.7528404236920041,0.9548969810868174,1.1745064986333582,0.8606771367109014
LOW,MICE_LGBM,Lasso,0.7524621859310163,0.7524621859304136,0.9545620053627819,1.1760622432688361,0.8669224387527132
LOW,MICE_LGBM,RF,0.6953086490482764,0.6953086490475293,0.9499189288614552,1.3043184758683541,0.9618577656609197
LOW,MICE_LGBM,Ridge,0.7528404096657775,0.7528404096651748,0.9548969178497599,1.1745064739134852,0.8606783577367676
LOW,MICE_LGBM,SVR,0.7682415469846514,0.7682415469840895,0.9570700070522895,1.1418731799809043,0.8178426887076661
LOW,MICE_LGBM,XGB,0.7264393970501115,0.7264393970494452,0.9535781039898708,1.2374917052125025,0.8898200643062593
LOW,MICE_LINEAR,Ada,0.5860858268221516,0.5860858268212277,0.9352604379647171,1.557665585103564,1.2618418582890543
LOW,MICE_LINEAR,DT,0.4581788279381951,0.45817882793685927,0.9365696669118422,1.7330455211094233,1.2567968466877937
LOW,MICE_LINEAR,GB,0.7668290416568007,0.7668290416562351,0.9556424875512223,1.1454244278287142,0.843541815465694
LOW,MICE_LINEAR,KNN,0.7049471670296892,0.7049471670289703,0.9504261986206873,1.2864817671650641,0.9500625073909761
LOW,MICE_LINEAR,LGBM,0.7561855023180009,0.756185502317414,0.9551490156181659,1.175454182433848,0.8549796402859927
LOW,MICE_LINEAR,LN,0.7528461268097331,0.7528461268091304,0.9548967229929367,1.1744900808452425,0.8606808090209961
LOW,MICE_LINEAR,Lasso,0.7524675100484347,0.7524675100478322,0.9545619477716016,1.1760471130411259,0.8669222712516785
LOW,MICE_LINEAR,RF,0.6937840882664029,0.6937840882656496,0.9500738211449877,1.3054271787611147,0.9593744470519678
LOW,MICE_LINEAR,Ridge,0.7528461406980864,0.7528461406974838,0.9548966627264281,1.1744899293451503,0.8606819713115693
LOW,MICE_LINEAR,SVR,0.7682433018612842,0.7682433018607223,0.9570699562287754,1.1418596179815903,0.8178435234833629
LOW,MICE_LINEAR,XGB,0.7303705669619941,0.7303705669613484,0.9533896801389636,1.2380765588755,0.8932610690593721
MEDIUM,MICE_LGBM,Ada,0.7709151661367606,0.7709151661361292,0.9549953410380475,1.391055507423427,1.0911231379229687
MEDIUM,MICE_LGBM,DT,0.7025327333420692,0.7025327333412713,0.953382482723636,1.6220395988096985,1.149642887370927
MEDIUM,MICE_LGBM,GB,0.8486661845778636,0.8486661845774207,0.9647461086001925,1.0971299449615286,0.8338561347057132
MEDIUM,MICE_LGBM,KNN,0.8369494815128595,0.8369494815124054,0.9625901275763701,1.1794873085867834,0.9052500132152013
MEDIUM,MICE_LGBM,LGBM,0.8574282367267021,0.8574282367262788,0.9658046144041653,1.0620067568981932,0.808467810274096
MEDIUM,MICE_LGBM,LN,0.8377870863773239,0.8377870863768464,0.9629273197599998,1.1256485902483855,0.8734138853265099
MEDIUM,MICE_LGBM,Lasso,0.8363346635524114,0.83633466355193,0.9630129485604781,1.1291908408797904,0.8716828057036211
MEDIUM,MICE_LGBM,RF,0.8599561810696317,0.8599561810692199,0.9664679983367163,1.0539847518240846,0.7930785712514605
MEDIUM,MICE_LGBM,Ridge,0.8377871868319015,0.8377871868314238,0.962927303771777,1.125648982594056,0.873414567053365
MEDIUM,MICE_LGBM,SVR,0.8592188909520638,0.8592188909516395,0.9670148347483218,1.0466994941080927,0.7783422470950531
MEDIUM,MICE_LGBM,XGB,0.8515500311552585,0.8515500311548266,0.9653881710491978,1.0963911690133743,0.8240043262072972
MEDIUM,MICE_LINEAR,Ada,0.7726438638610805,0.7726438638604562,0.954541290566275,1.389335565238269,1.1056153406547693
MEDIUM,MICE_LINEAR,DT,0.7191101754012046,0.7191101754003858,0.9549747011547579,1.5212832851762463,1.1056250176259448
MEDIUM,MICE_LINEAR,GB,0.8493188940527707,0.8493188940523283,0.9648098190199538,1.0945790124796466,0.8318942043790866
MEDIUM,MICE_LINEAR,KNN,0.8359451632802528,0.8359451632797938,0.9625447411107738,1.1805845931536776,0.9060535826001849
MEDIUM,MICE_LINEAR,LGBM,0.857447080348024,0.8574470803476046,0.9657571350666202,1.0658300408948924,0.8097844826685823
MEDIUM,MICE_LINEAR,LN,0.8377918067955784,0.8377918067951009,0.9629273784894645,1.1256413875923357,0.8734118762186597
MEDIUM,MICE_LINEAR,Lasso,0.836336092581151,0.8363360925806693,0.9630135894795127,1.1291884276112782,0.871673058782305
MEDIUM,MICE_LINEAR,RF,0.8582692622948568,0.85826926229444,0.9662409852047011,1.0600868846200773,0.7983946374825068
